"APPLICATION_ID","ACTIVITY","ADMINISTERING_IC","APPLICATION_TYPE","ARRA_FUNDED","AWARD_NOTICE_DATE","BUDGET_START","BUDGET_END","CFDA_CODE","CORE_PROJECT_NUM","ED_INST_TYPE","FOA_NUMBER","FULL_PROJECT_NUM","FUNDING_ICs","FUNDING_MECHANISM","FY","IC_NAME","NIH_SPENDING_CATS","ORG_CITY","ORG_COUNTRY","ORG_DEPT","ORG_DISTRICT","ORG_DUNS","ORG_FIPS","ORG_IPF_CODE","ORG_NAME","ORG_STATE","ORG_ZIPCODE","PHR","PI_IDS","PI_NAMEs","PROGRAM_OFFICER_NAME","PROJECT_START","PROJECT_END","PROJECT_TERMS","PROJECT_TITLE","SERIAL_NUMBER","STUDY_SECTION","STUDY_SECTION_NAME","SUBPROJECT_ID","SUFFIX","SUPPORT_YEAR","DIRECT_COST_AMT","INDIRECT_COST_AMT","TOTAL_COST","TOTAL_COST_SUB_PROJECT"
"9099311","R15","GM","1","N","08/02/2016","08/02/2016","07/31/2019","859","R15GM119117","EARTH SCIENCES/RESOURCES","PA-13-313","1R15GM119117-01","NIGMS:352601\","Non-SBIR/STTR RPGs","2016","NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES","Congenital Structural Anomalies; Genetics; Pediatric; ","STILLWATER","UNITED STATES","BIOCHEMISTRY","03","049987720","US","1450502","OKLAHOMA STATE UNIVERSITY STILLWATER","OK","740781016","PUBLIC HEALTH RELEVANCE: The proposed research is relevant to human health because it is expected to lead to new interventions for manipulating Lis1, dynein, and microtubules in several diseases, such as cancer where cell divisions need to be halted. This research will provide new understanding of the cellular roles of Lis1, which is mutated in the developmental disease, Lissencephaly. The proposed work describes a previously unrecognized type of regulation that can be applied to the dynein present in several basic cellular processes, and this insight can lead to new therapies when these processes go awry.","1886857; ","MILLER, RITA K;","GINDHART, JOSEPH G","08/02/2016","07/31/2019","Alzheimer's Disease; Anaphase; Animal Model; base; Behavior; Binding Proteins; Biochemical; Biological; Biological Assay; Brain Diseases; brain tissue; cancer cell; Cancer cell line; Cancer Intervention; Cancerous; career; Cell Cycle; Cell division; Cell Line; Cell physiology; Cells; Chromosomal Instability; chromosome conformation capture; Collaborations; Complex; Critical Thinking; Data; Destinations; Development; Disease; Disease model; Dynein ATPase; Environment; Enzymes; genetic approach; Genetic Materials; Goals; graduate student; Health; Homologous Gene; Human; human disease; improved; innovation; insight; interest; Intervention; Investigation; Knowledge; Lead; Learning; leukemia; Life; Link; lissencephaly; malformation; Malignant Neoplasms; Microtubule-Associated Proteins; Microtubules; Minus End of the Microtubule; Mission; Mitosis; Mitotic spindle; Modification; Motor; multicatalytic endopeptidase complex; mutant; Mutate; Mutation; Neurodegenerative Disorders; neurological pathology; Neurons; novel; novel therapeutics; Nuclear; Phenotype; Play; Positioning Attribute; Post-Translational Protein Processing; Post-Translational Regulation; Process; Proteins; Proteomics; public health relevance; Regulation; Research; Research Personnel; Research Project Grants; Research Training; Role; Signal Transduction; Site; Students; System; targeted treatment; tau Proteins; Testing; Tissues; tumorigenesis; Ubiquitin; ubiquitin ligase; Ubiquitination; undergraduate student; United States National Institutes of Health; Walking; Work; Yeast Model System; Yeasts; ","Post-translational regulation of Lis1/Pac1p in dynein function","119117","NCSD","Nuclear and Cytoplasmic Structure/Function and Dynamics Study Section ","","","01","250000","102601","352601",""
"9357384","F32","MH","5","N","12/22/2017","10/28/2017","07/27/2018","242","F32MH110077","SCHOOLS OF MEDICINE","PA-14-149","5F32MH110077-02","NIMH:48136\","TRAINING, INDIVIDUAL","2018","NATIONAL INSTITUTE OF MENTAL HEALTH","","PITTSBURGH","UNITED STATES","PSYCHIATRY","14","004514360","US","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PA","152132303","8. Project Narrative Reactive aggression (RA) represents a transdiagnostic indicator that permeates nearly all psychiatric disorders in youth and is one of the most common reasons youth are referred for mental health treatment. The persistence of RA during the transition to adolescence marks significant risk for a range of mental health disorders in adulthood, including antisocial personality disorder and borderline personality disorder, and it is linked to increased risk for suicide and substance use as well as lower academic achievement, poor interpersonal functioning and higher rates of incarceration. The present study seeks to examine emotional reactivity and parenting dimensions as risk factors for the persistence of RA during the transition to adolescence in order to better identify who is most vulnerable and how to best intervene with those youth and their families.","14084590; ","BYRD, AMY L.;","SARAMPOTE, CHRISTOPHER S","09/30/2016","07/27/2018","Academic achievement; Address; Adolescence; Adult; Age; Aggressive behavior; Alcohol or Other Drugs use; Antisocial Personality Disorder; Behavior; Behavior Control; Behavioral; Biological Factors; biopsychosocial; Borderline Personality Disorder; Child; Child Rearing; Childhood; Clinical; Conflict (Psychology); Development; Developmental Process; Dimensions; Disease; Ecological momentary assessment; Emotional; Emotions; Environmental Risk Factor; experience; Failure; Family; follow up assessment; Frustration; Goals; Heterogeneity; high risk; Imprisonment; indexing; Individual; Individual Differences; infancy; innovation; Intervention; Knowledge; Laboratories; Life; Light; Link; Measurement; Measures; Mental disorders; Mental Health; Modality; Moods; Motivation; National Institute of Mental Health; Nature; Neurobiology; Parent-Child Relations; Parents; Phenotype; Plant Roots; Prevalence; Preventive Intervention; Problem behavior; Problem Solving; Process; prospective; Psychopathology; Psychophysiology; Public Health; Reporting; Research; Research Domain Criteria; Research Training; response; Rewards; Risk; Risk Factors; Sampling; scaffold; suicidal risk; Testing; Time; tool; Training; Transact; Translating; Translational Research; Validation; Variant; Withdrawal; Work; Youth; ","Risk for Reactive Aggression into Adolescence: Emotional Reactivity and Parenting","110077","ZRG1","Special Emphasis Panel ","","","02","48136","","48136",""
"9377477","F30","AG","5","N","12/22/2017","12/01/2017","11/30/2018","866","F30AG055261","SCHOOLS OF MEDICINE","PA-14-150","5F30AG055261-02","NIA:47969\","TRAINING, INDIVIDUAL","2018","NATIONAL INSTITUTE ON AGING","","CLEVELAND","UNITED STATES","NEUROSCIENCES","11","077758407","US","218601","CASE WESTERN RESERVE UNIVERSITY","OH","441061712","Project Narrative Alzheimer's disease (AD) and other neurodegenerative diseases have been linked to variants in TREM2, an immune receptor expressed on myeloid cells. This proposal seeks to determine how the TREM2 R47H variant modulates myeloid cell phenotype, AD pathology, and neurodegeneration to provide insight into potential novel AD therapeutics.","11873850; ","CHENG-HATHAWAY, PAUL JA-WEN;","YANG, AUSTIN JYAN-YU","12/01/2016","11/30/2019","Address; Aging; Alleles; Alzheimer's Disease; Alzheimer's disease model; Alzheimer's disease risk; Amyloid; Amyloid beta-Protein; amyloid peptide; Amyotrophic Lateral Sclerosis; Apolipoprotein E; Arginine; arm; base; behavior test; Biochemical; Biological Assay; Bone Marrow Transplantation; brain cell; brain tissue; Cell Count; Cell Death; Cell physiology; Cell Separation; Cell Survival; Cells; Cellular Structures; Chimera organism; Code; Cognitive deficits; CRISPR/Cas technology; Data; Dementia; Deposition; Development; Disease; Dominant-Negative Mutation; Economics; Enzyme-Linked Immunosorbent Assay; experimental study; Flow Cytometry; Fracture; Frontotemporal Dementia; Genes; genetic linkage; Genetic Models; Genetic study; genome editing; Goals; Growth; Histidine; Homeostasis; hyperphosphorylated tau; Image; Immune Targeting; Immunologic Receptors; In Vitro; Infiltration; Inflammation; inflammatory marker; Inflammatory Response; Innate Immune System; insight; interest; Knock-in; Knock-in Mouse; Knock-out; Lead; Learning; Link; loss of function; macrophage; Measures; Memory; Memory impairment; Microglia; Modeling; morris water maze; mouse model; Mus; Mutation; Myeloid Cell Activation; Myeloid Cells; Nerve Degeneration; Neurites; Neurodegenerative Disorders; neuroinflammation; neuron loss; Neurons; neurotoxic; novel; novel therapeutics; Odds Ratio; Parkinson Disease; Pathogenesis; Pathology; Patients; Peripheral; Phenotype; Play; Prevalence; Process; Radial; RNA; Role; Senile Plaques; Short-Term Memory; social; Spottings; Technology; Testing; Therapeutic; Training; transcriptome; TREM2 gene; Variant; Water; ","Role of TREM2 R47H in Alzheimer's disease using novel CRISPR/Cas9 mouse models","055261","ZRG1","Special Emphasis Panel ","","","02","47969","","47969",""
"9390405","R01","HL","5","N","12/21/2017","12/01/2017","11/30/2018","839","R01HL125339","BIOMED ENGR/COL ENGR/ENGR STA","PAR-13-137","5R01HL125339-04","NHLBI:569561\","Non-SBIR/STTR RPGs","2018","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","","SEATTLE","UNITED STATES","ENGINEERING (ALL TYPES)","07","605799469","US","9087701","UNIVERSITY OF WASHINGTON","WA","981959472","PUBLIC HEALTH RELEVANCE: The incidence of recognized chronic kidney disease in people ages 65 and older more than doubled between 2000 and 2008, and the prevalence in people ages 60 and older is now nearly 25% with about 400,000 people in the USA being treated for end-stage renal disease (ESRD) with some form of dialysis. Vascular access is a key component of dialysis systems and complications with both arterio-venous (AV) grafts and fistulas limit long-term survival rates. This project will develop a molecular theranostics system combining targeted nanoemulsions with integrated photo/sono therapy and photoacoustic/ultrasonic (PA/US) imaging to address the clinically significant problem of non-invasively treating thrombosed/occluded dialysis grafts/fistulas.","9252818; ","POZZO, LILO D.;","WARREN, RONALD Q","12/01/2014","11/30/2019","absorption; Acoustics; Address; Adult; Age; American; Animal Model; Balloon Angioplasty; base; Biochemical; Blood Vessels; Cell Nucleus; Chronic Kidney Failure; Clinical; clinically relevant; clinically significant; Coagulation Process; Contrast Media; cost; Cytolysis; design; Detection; Devices; Diagnostic; Diagnostic Sensitivity; Diagnostic Specificity; Dialysis procedure; effective therapy; Elderly; Emulsions; End stage renal failure; Family suidae; Feedback; Fibrin; Fistula; Fluorocarbons; Formulation; Funding; Goals; Gold; Image; image guided; imaging agent; imaging system; improved; In Vitro; in vivo; Incidence; Infusion procedures; Injury; Intervention; Lasers; Lighting; Measures; Mechanics; Methods; minimally invasive; Modeling; Molecular; molecular imaging; molecular scale; nano; nanoemulsion; Noise; Nonionizing Radiation; Optics; Penetration; Performance; Peripheral; Physiologic pulse; Population; pressure; Prevalence; Privatization; Procedures; programs; Prosthesis; public health relevance; Reporting; Research; response; Risk; safety and feasibility; Sensitivity and Specificity; Signal Transduction; Site; soft tissue; Specificity; Surface; Survival Rate; System; targeted agent; targeted imaging; Technology; Testing; theranostics; Therapeutic; Thrombectomy; thrombolysis; Thrombolytic Therapy; Thrombosis; Thrombus; Time; Tissues; tool; Toxic effect; Translating; Ultrasonics; Ultrasonography; ","Nano-agent for photoacoustic theranostics of dialysis graft/fistula occlusions","125339","BMIT","Biomedical Imaging Technology Study Section ","","","04","419303","150258","569561",""
"9390485","R01","HL","5","N","12/18/2017","12/01/2017","11/30/2018","837","R01HL122144","GRADUATE SCHOOLS","PA-13-302","5R01HL122144-04","NHLBI:700701\","Non-SBIR/STTR RPGs","2018","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","","PITTSBURGH","UNITED STATES","PUBLIC HEALTH & PREV MEDICINE","14","004514360","US","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PA","152132303","PUBLIC HEALTH RELEVANCE: Aspects of the mission of the NHLBI are to promote prevention and treatment of Diseases and enhance the health of all individuals and translate discoveries into clinical practice. This proposed project aims to address these goals by identifying intervention techniques that will lead to successful weight loss and disseminating the process to scientists, clinicians, and others.","3086461 (contact); 6724647; ","BELLE, STEVEN H. (contact); TATE, DEBORAH F.;","ARTEAGA, SONIA S","12/01/2014","11/30/2018","active control; Address; Adult; Age; age group; Alzheimer's Disease; arm; base; Behavior; behavior change; Behavior Therapy; Behavioral; Body Weight Changes; Body Weight decreased; cardiovascular disorder risk; Caregivers; Categories; clinical practice; Clinical Trials; Common Data Element; Comorbidity; comparative effectiveness; Complex; Controlled Clinical Trials; Data; Data Collection; Data Element; Databases; depressive symptoms; design; Disease; Dose; Early Intervention; effective intervention; Elements; Exclusion Criteria; experience; Funding; Funding Agency; Goals; group intervention; Health; Heterogeneity; high risk; Human Resources; Individual; innovation; Institutes; Institution; Intervention; Intervention Studies; Intervention Trial; Knowledge; Lead; Length; Life Style; Measurement; Measures; Mission; Modeling; mortality; multi-component intervention; National Heart, Lung, and Blood Institute; novel strategies; Obesity; Outcome; Participant; Physicians; Prevalence; prevent; Prevention; Process; Protocols documentation; psychosocial; Public Health; public health relevance; Publications; Randomized; Randomized Clinical Trials; Randomized Controlled Trials; Research; Research Personnel; research study; Resources; Risk Factors; Scientist; Site; Specificity; Strategic Planning; success; successful intervention; symposium; symptomatology; Target Populations; Taxonomy; Techniques; Technology; Testing; theories; Translating; trial design; U-Series Cooperative Agreements; United States; United States National Institutes of Health; Weight; Weight Gain; Weight maintenance regimen; Work; young adult; ","Cross-study analysis of coordinated randomized clinical trials for weight managem","122144","ZRG1","Special Emphasis Panel ","","","04","585836","114865","700701",""
"9396482","F31","AA","1","N","09/14/2017","09/17/2017","09/16/2018","273","F31AA026175","SCHOOLS OF ARTS AND SCIENCES","PA-16-309","1F31AA026175-01","NIAAA:44044\","TRAINING, INDIVIDUAL","2017","NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM","","LEXINGTON","UNITED STATES","PSYCHOLOGY","06","939017877","US","2793601","UNIVERSITY OF KENTUCKY","KY","405260001","Negative urgency is a personality trait that reflects the tendency to act impulsively when distressed and that predicts alcohol consumption in young adults. If researchers can reduce negative urgency, they might well be able to reduce risk for problem drinking and thus advance the public health. The proposed project constitutes the first test of the possibility that an emotion modulation training program could reduce drinking behavior by reducing negative urgency","14181742; ","RILEY, ELIZABETH ;","RUFFIN, BEVERLY","09/17/2017","09/16/2019","Alcohol abuse; Alcohol consumption; base; Behavior; Binge Eating; Clinical; Clinical Ethics; Comorbidity; design; Disease; distraction; Distress; drinking; drinking behavior; drinking onset; Drug usage; Drug Use Disorder; early adolescence; early drinking; early onset; Eating Disorders; elementary school; Emotions; Environment; Ethics; Exanthema; experimental study; Exposure to; Feedback; fifth grade; Functional disorder; Future; graduate student; Heavy Drinking; heavy drinking young adult; high risk; high school; Impulsive Behavior; Impulsivity; International; Laboratories; Laboratory Study; Learning; lectures; Literature; longitudinal design; Longitudinal Studies; Measures; Mediating; Mediation; meetings; Mentors; Minority; Modeling; multilevel analysis; negative affect; Negative Reinforcements; non-suicidal self injury; Observational Study; Outcome; Participant; Personality; Personality Traits; Persons; Population; Post-Traumatic Stress Disorders; Preparation; prevent; Prevention; Process; programs; prospective; Public Health; Publications; Publishing; reinforced behavior; Reporting; Research; Research Assistant; Research Ethics; Research Personnel; response; Rewards; Risk; Risk Factors; Risk Reduction; Sampling; Series; sexual assault; Smoking; Students; success; Testing; therapy design; Time; Traineeship; Training; Training Programs; trait; Trauma; undergraduate research; Universities; Woman; Work; young adult; Youth; ","Intentional personality change: Towards preventing problem drinking","026175","ZAA1","Special Emphasis Panel ","","","01","44044","","44044",""
"9397374","F31","NS","1","N","06/16/2017","06/16/2017","06/15/2018","853","F31NS103588","SCHOOLS OF MEDICINE","PA-16-309","1F31NS103588-01","NINDS:36212\","TRAINING, INDIVIDUAL","2017","NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE","","LA JOLLA","UNITED STATES","PATHOLOGY","49","804355790","US","577507","UNIVERSITY OF CALIFORNIA SAN DIEGO","CA","920930934","PROJECT NARRATIVE Prion infections are caused by misfolded proteins that accumulate within the nervous system and ultimately lead to progressive neurodegeneration and death. I propose to investigate the role of exosomes in the cell-to- cell spread of prions within the brain. These studies will provide fundamental mechanistic insights into prion dissemination and inform on potential therapeutic targets to block protein aggregate spread in prion, Alzheimer?s, and other neurodegenerative diseases.","14593008; ","LAWRENCE, JESSICA ANNE;","WONG, MAY","06/16/2017","06/15/2020","Address; Affect; Alpha Cell; Alzheimer's Disease; Amino Acid Sequence; Amyloid beta-Protein; Astrocytes; base; Brain; Brain region; Carrier Proteins; cell immortalization; Cell Line; Cells; Central Nervous System Diseases; Cessation of life; Clinical; Communicable Diseases; Complex; CRISPR/Cas technology; Data; Disease; Disease Progression; Early Endosome; exosome; extracellular; Gliosis; hepatocyte growth factor-regulated tyrosine kinase substrate; immortalized cell; In Situ; In Vitro; in vivo; in vivo Model; Infection; insight; intercellular communication; Interruption; Invaded; Investigation; Lead; LoxP-flanked allele; Measures; Messenger RNA; Microglia; misfolded protein; Modeling; Molecular Conformation; Mus; nanovesicle; Nerve Degeneration; Nervous system structure; Neurodegenerative Disorders; Neurons; neurotoxic; novel therapeutics; Pathogenesis; Pathology; Pathway interactions; Population; Population Heterogeneity; Post-Translational Protein Processing; Prion Diseases; Prion Pathway; Prions; progressive neurodegeneration; protein aggregate; Protein Isoforms; protein misfolding; Protein Sortings; protein transport; Proteins; PrP; PrPSc Proteins; recombinant PrP; relating to nervous system; Role; Route; Spinal; Symptoms; System; Testing; therapeutic target; Tongue; trafficking; Transgenic Mice; Vesicle Transport Pathway; ","Targeting vesicular transport pathways in prion disease","103588","ZRG1","Special Emphasis Panel ","","","01","36212","","36212",""
"9399679","R01","HL","5","N","12/22/2017","12/01/2017","11/30/2018","837","R01HL126171","SCHOOLS OF MEDICINE","PA-13-302","5R01HL126171-04","NHLBI:768263\","Non-SBIR/STTR RPGs","2018","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","","MINNEAPOLIS","UNITED STATES","FAMILY MEDICINE","05","555917996","US","1450402","UNIVERSITY OF MINNESOTA","MN","554552070","PUBLIC HEALTH RELEVANCE: This two-phased incremental mixed-methods study will address unanswered questions related to the home environment and childhood obesity disparities. Phase I (n=120 diverse families) includes in-home observations to gain an in-depth understanding of aspects of the home environment that are relevant to childhood obesity. Phase II (n=2400 diverse caregivers) examines longitudinal risk and protective factors for childhood obesity.","10180295; ","BERGE, JERICA M;","PRATT, CHARLOTTE","12/01/2014","11/30/2019","Accelerometer; Address; African American; Age; American Indians; Authoritarianism; base; Behavior; Behavior Control; Caregivers; Child; Child Rearing; Childhood; Clinic; community based participatory research; Complex Analysis; Conflict (Psychology); Data Collection; Depressed mood; Development; Diet; Dietary intake; Eating; Ecological momentary assessment; Effectiveness of Interventions; Ethnic group; Ethnic Origin; Evaluation; experience; Family; Family member; family structure; family support; Fatty acid glycerol esters; feeding; follow-up; Food; fruits and vegetables; Goals; grandparent; Health; Health behavior; Hispanics; Home environment; Hour; Household; improved; Income; Individual; Intake; Interpersonal Relations; Intervention; Interview; Link; Longitudinal Surveys; Low income; lower income families; Measures; member; Methods; Minnesota; Minority; minority children; Moods; novel; Obesity; obesity in children; obesity risk; Parents; Phase; Physical activity; Predictive Factor; Prevalence; Primary Health Care; Process; psychosocial; public health relevance; Race; racial and ethnic; Recruitment Activity; Research; Risk; Sampling; sedentary lifestyle; Siblings; socioeconomics; Stress; success; Surveys; theories; Time; tv watching; Variant; Weight; Weight maintenance regimen; Youth; ","Addressing Unanswered Questions About the Home Environment and Childhood Obesity Disparities","126171","PRDP","Psychosocial Risk and Disease Prevention Study Section ","","","04","543457","224806","768263",""
"9402105","R01","HL","5","N","12/20/2017","12/01/2017","11/30/2018","837","R01HL098435","SCHOOLS OF MEDICINE","PA-13-302","5R01HL098435-07","NHLBI:355250\","Non-SBIR/STTR RPGs","2018","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","","SHREVEPORT","UNITED STATES","PATHOLOGY","04","095439774","US","577905","LOUISIANA STATE UNIV HSC SHREVEPORT","LA","711034228","Atherosclerosis, a chronic inflammatory disease of the vessel wall, is the leading cause of death in developed countries. Our research suggests that changes in the local extracellular matrix during atherosclerosis primes the tissue for inflammation. Normal components of the vascular matrix limit cellular responsiveness to transient injurious stimuli, while provisional matrix deposition in response to chronic stimuli enhances cellular responsiveness to propagate tissue remodeling. Understanding the molecular mechanisms by which matrix composition affects cell physiology could provide novel therapeutic targets to limit chronic inflammatory diseases, such as atherosclerosis and arthritis.","9748842; ","ORR, ANTHONY WAYNE;","OLIVE, MICHELLE","08/15/2010","11/30/2020","Adhesions; Affect; Affinity; Arterial Fatty Streak; Arthritis; Atherosclerosis; Binding; Binding Proteins; Blood Vessels; Cause of Death; Cell physiology; Chronic; Complex; cytokine; Data; Deposition; Developed Countries; Developing Countries; Disease; Endothelial Cells; Endothelium; Endotoxins; Extracellular Matrix; Fibronectins; Functional disorder; Gene Expression; Grant; In Vitro; in vivo; Inflammation; Inflammatory; Integrin Binding; Integrins; Link; Mediating; Modeling; Molecular; Mus; new therapeutic target; novel; oxidized low density lipoprotein; Pathogenicity; Pattern; permissiveness; Phenotype; Phosphotransferases; prevent; Publishing; Recruitment Activity; Research; response; Role; Scaffolding Protein; Signal Pathway; Signal Transduction; Site; Stimulus; System; Testing; Tissues; Transgenic Mice; Ubiquitin; Ubiquitination; Work; ","Matrix signaling in endothelial cell dysfunction","098435","VCMB","Vascular Cell and Molecular Biology Study Section ","","","07","245000","110250","355250",""
"9404354","P30","CA","5","N","12/19/2017","12/01/2017","11/30/2018","","P30CA023108","","PAR-13-386","5P30CA023108-39","NCI:654094\","RESEARCH CENTERS","2018","NATIONAL CANCER INSTITUTE","","HANOVER","UNITED STATES","","02","041027822","US","2021601","DARTMOUTH COLLEGE","NH","037551421","","1863888; ","ISRAEL, MARK A;","","","","Address; anticancer research; Appointment; Area; Award; Basic Science; Budgets; Cancer Center Support Grant; Catchment Area; Charge; Clinical Research; Collaborations; collaborative environment; Communities; Computer software; Decision Making; Development; Education; experience; Faculty; Faculty Recruitment; Floor; Formulation; Fostering; Funding; Funding Mechanisms; global health; Individual; Institution; interest; Lead; Leadership; Malignant Neoplasms; meetings; member; New Hampshire; Parents; Performance; Philanthropic Fund; Pilot Projects; Population Sciences; Process; programs; Recruitment Activity; Research; Research Personnel; Research Training; Resource Sharing; Resources; Retreatment; Role; Schools; Science; Scientific Advances and Accomplishments; Services; Strategic Planning; Talents; Training; Translational Research; undergraduate student; Vision; ","Administration","023108","NCI","Subcommittee I - Transistion to Independence ","5351","","39","401764","252330","","654094"
