APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
9304566,R21,DC,1,N,1/8/2018,1/8/2018,12/31/2018,173,R21DC016102,UNIVERSITY-WIDE,PAR-16-057,1R21DC016102-01,NIDCD:155000\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,,EAST LANSING,UNITED STATES,NONE,8,193247145,US,5245901,MICHIGAN STATE UNIVERSITY,MI,488242600,"PROJECT NARRATIVE The proposed research is relevant to public health because determining how abnormal visual preferences impact language is expected to 1) increase understanding of language deficits in children with autism spectrum disorder, and 2) enable the development of novel treatment strategies. This project is consistent with the mission of the NIDCD because its ultimate goal is to facilitate language development in children with autism spectrum disorder, thereby improving quality of life for these children and their families.",10992916; ,"VENKER, COURTNEY E;","COOPER, JUDITH",1/8/2018,12/31/2020,Address; Adopted; Affect; Age; Attention; autism spectrum disorder; Autistic Disorder; Behavioral; Characteristics; Child; Clinical; clinical practice; Complex; Data; Development; educational atmosphere; Environment; experience; Eye; Family; gaze; Goals; Growth; Impairment; improved; Individual; innovation; interest; Knowledge; Language; language comprehension; Language Development; Language Disorders; Learning; Measures; Mediating; Methodology; Mission; Modeling; National Institute on Deafness and Other Communication Disorders; novel; Outcome; Pattern; Phenotype; Play; preference; Public Health; Quality of life; Research; research and development; Role; Severities; Speed; Target Populations; Testing; theories; treatment strategy; Visual; Visual attention; Vocabulary; word learning; Word Processing; Work; ,The Influence of Visual Perceptual Salience on Word Processing and Word Learning in Young Children with Autism Spectrum Disorder,16102,CDRC,Communication Disorders Review Committee ,,,1,100000,55000,155000,
9391027,R01,HL,5,N,1/9/2018,1/1/2018,12/31/2018,838,R01HL120952,,PA-11-260,5R01HL120952-05,NHLBI:399178\,Non-SBIR/STTR RPGs,2018,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",,BOSTON,UNITED STATES,,7,30811269,US,1080401,BRIGHAM AND WOMEN'S HOSPITAL,MA,21156110,"PUBLIC HEALTH RELEVANCE: Asthma is a common and serious disease. Greater than 50% of asthma is attributable to allergy and house dust mite is the most common allergen worldwide. We have identified that the immune receptor Dectin-2 is activated by dust mite to initiate and perpetuate allergic pulmonary inflammation. Therefore, understanding how Dectin-2 mediates the response to dust mite can identify novel targets for therapeutic intervention.",8064095; ,"BARRETT, NORA AMANDA;","NOEL, PATRICIA",1/1/2014,12/31/2018,Adaptor Signaling Protein; Address; Allergens; Allergic; Allergic inflammation; Antibodies; Aspergillus fumigatus; Asthma; autocrine; base; C Type Lectin Receptors; Cell physiology; Cells; clinically relevant; conditioning; cysteinyl leukotriene receptor; cysteinyl leukotriene receptor 2; cysteinyl-leukotriene; cytokine; Data; Dendritic cell activation; Dendritic Cells; Dermatophagoides farinae; Dermatophagoides pteronyssinus; Development; Disease; DNA Sequence Alteration; Environmental Exposure; Extrinsic asthma; Functional disorder; Generations; Genetic; Goals; Granulocyte-Macrophage Colony-Stimulating Factor; Human; Hypersensitivity; Immune; Immune response; Immunity; Immunologic Receptors; immunopathology; Impairment; in vivo Model; Inflammatory; insight; Interleukin-1 alpha; Interleukin-1 beta; interleukin-23; Interleukin-6; ITGAX gene; knock-down; Knockout Mice; Leukotriene Production; leukotriene-C4 synthase; Ligands; Lipids; lymph nodes; MAPK1 gene; Mediating; Mitogen-Activated Protein Kinases; Molds; Molecular; monocyte; mouse dectin-2; Mouse Strains; Mus; Mutation; Myelogenous; new therapeutic target; novel; paracrine; Pathway interactions; Patients; Pattern recognition receptor; Phase; Polysaccharides; Prevention strategy; Production; public health relevance; Pulmonary Inflammation; pyroglyphid; Pyroglyphidae; Recruitment Activity; Regulation; Research Personnel; response; Role; Signal Transduction; Small Interfering RNA; Therapeutic; Therapeutic Intervention; TNF gene; tool; treatment strategy; TSLP gene; ,Allergic Pulmonary Inflammation Through the Dectin-2 Pathway,120952,HAI,"Hypersensitivity, Autoimmune, and Immune-mediated Diseases Study Section ",,,5,245000,154178,399178,
9396722,F31,AR,1,N,9/1/2017,9/1/2017,8/31/2018,846,F31AR072461,SCHOOLS OF MEDICINE,PA-16-309,1F31AR072461-01,NIAMS:44044\,"TRAINING, INDIVIDUAL",2017,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,,PHILADELPHIA,UNITED STATES,NONE,2,42250712,US,6463801,UNIVERSITY OF PENNSYLVANIA,PA,191046205,"Project Narrative: The mechanisms underlying the appropriate development of the skin barrier remain incompletely understood, particularly with respect to the role of chromatin regulation in this context. Inhibition of histone deacetylases (HDACs), a type of epigenetic enzyme, is a promising means for treating hyperproliferative skin conditions; however, HDAC inhibitors act non-specifically on multiple HDACs and have severe side effects. This proposal will delineate the role of the histone deacetylase HDAC3 in the skin, which will improve current understanding of skin biology and disease, and has the potential to inform the design of improved therapeutics for skin cancer and skin inflammatory diseases.",11545307; ,"SZIGETY, KATHERINE MARGARET;","CIBOTTI, RICARDO",9/1/2017,12/31/2018,Abnormal Keratinocyte; Address; Adult; Adverse effects; Aftercare; Animals; Antibiotic Therapy; Antibiotics; Architecture; base; Binding; Binding Sites; Biological Assay; Biology; Cell Wall; Chromatin; chromatin immunoprecipitation; Chromatin Structure; Clinical; Co-Immunoprecipitations; commensal microbes; Complex; Control Animal; Cutaneous; cytokine; Data; Deacetylation; Dehydration; design; Development; Disease; DNA Binding; Doctor of Philosophy; Embryo; Enzymes; Epidermis; Epigenetic Process; epigenetic regulation; experimental study; Failure; Family member; Fellowship; Fibroblasts; Functional disorder; Gene Expression; Gene Proteins; gene repression; Gene Targeting; genetic analysis; Genetic Transcription; germ free condition; Goals; Gram-Positive Bacteria; HDAC3 gene; Histone Deacetylase; Histone Deacetylase Inhibitor; Histones; Homeostasis; Immune signaling; improved; In Vitro; Individual; Inflammation; Inflammatory; inhibitor/antagonist; Innate Immune Response; interest; Intestines; JUN gene; keratinocyte; keratinocyte differentiation; Killings; Lesion; Life; Ligation; Lipopolysaccharides; loss of function; Lung; macrophage; Malignant Neoplasms; Mediating; medical schools; microbiota; mouse model; Mus; mutant; Mutant Strains Mice; Natural Immunity; new therapeutic target; Nuclear Export; Oral Administration; Patients; Pennsylvania; Peptidoglycan; Pharmaceutical Preparations; Phenotype; Physicians; Play; pre-doctoral; premature; prevent; Process; promoter; Psoriasis; Recruitment Activity; Regulation; Repression; Research; response; Role; Sampling; Scientist; Series; Signal Pathway; Signal Transduction; Skin; skin barrier; Skin Cancer; skin disorder; skin microbiota; skin organogenesis; small molecule inhibitor; T-Lymphocyte; Testing; Therapeutic; Topical Antibiotic; transcription factor; Transcription Factor AP-1; Universities; ,Epigenetic Regulation of Keratinocyte-Mediated Innate Immunity,72461,ZRG1,Special Emphasis Panel ,,,1,44044,,44044,
9398105,R01,CA,5,N,1/12/2018,1/1/2018,12/31/2018,396,R01CA169784,SCHOOLS OF MEDICINE,PA-11-260,5R01CA169784-05,NCI:320393\,Non-SBIR/STTR RPGs,2018,NATIONAL CANCER INSTITUTE,,NEW YORK,UNITED STATES,PATHOLOGY,12,121911077,US,5998304,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,100101710,PUBLIC HEALTH RELEVANCE: Acute myeloid leukemia (AML) is a devastating blood tumor with no identified targeted therapy. In this proposal we combine genetic and genomic approaches to understand and target leukemia initiation and progression.,7647769 (contact); 7776127; ,"AIFANTIS, IANNIS  (contact); LEVINE, ROSS L;","DUGLAS TABOR, YVONNE",1/1/2014,12/31/2018,Acetylation; Acute leukemia; Acute Myelocytic Leukemia; Address; Adult; Affect; Aftercare; Agonist; Animal Disease Models; Animal Model; Antibodies; Apoptotic; base; Biochemical; Biological; Blood; Cell Death; Cell Line; Cells; Cessation of life; chemotherapy; Chromatin; Chronic Myelomonocytic Leukemia; clinically significant; Coupled; Data; Development; Diagnosis; Disease; Dissection; DNA Methylation; Dysmyelopoietic Syndromes; Epigenetic Process; Event; extracellular; Family; Frequencies; Future; Genes; Genetic; genetic approach; Genomic approach; Genomics; Growth; Histone H3; histone methylation; Human; human data; human disease; In Vitro; in vivo; innovation; JAK2 gene; KRAS2 gene; Lead; Lesion; Letters; leukemia; leukemogenesis; Ligands; Massive Parallel Sequencing; Methylation; methylome; Molecular; mouse model; Mus; Mutation; Myelogenous; Myeloid Leukemia; Myeloproliferative disease; notch protein; Notch Signaling Pathway; novel; novel therapeutic intervention; operation; Pathway interactions; Patients; Pattern; Peptide antibodies; Peptides; public health relevance; Publishing; receptor expression; Regulation; Relapse; relapse patients; Reporting; Role; Signal Transduction; Solid; Stem cell transplant; Survival Rate; System; targeted treatment; Testing; Therapeutic; tool; tumor; Tumor Suppressor Proteins; United States; whole genome; Work; ,Genetic Dissection of Acute Myeloid Leukemia.,169784,CG,Cancer Genetics Study Section ,,,5,228216,92177,320393,
9398158,R25,TW,5,N,1/13/2018,1/1/2018,12/31/2018,989,R25TW009730,,PAR-13-027,5R25TW009730-05,FIC:68236\NHGRI:50000\NIAID:122032\,OTHER RESEARCH-RELATED,2018,FOGARTY INTERNATIONAL CENTER,,KAMPALA,UGANDA,,,850536636,UG,793001,MAKERERE UNIVERSITY,,7062,PUBLIC HEALTH RELEVANCE: The overarching goal is to produce a sustainable supply of graduates who will show leadership and significantly contribute to improving standards and practice of research ethics to protect the safety and welfare of research participants in Uganda and the wider sub-Saharan Africa region.,8670745; ,"SEWANKAMBO, NELSON K;","SINA, BARBARA J",5/1/2014,12/31/2018,Administrator; Adult; Africa; Africa South of the Sahara; African; Applied Research; Award; Bioethics; Bioethics Consultants; burden of illness; Burundi; Career Choice; Certification; Climacteric; Clinical; Collaborations; college; Communicable Diseases; Consultations; cost; Country; Dentistry; Development; Discipline of Nursing; Educational process of instructing; Empirical Research; Ensure; Environment; Ethical Issues; Ethics; Europe; experience; Foundations; Goals; Government; Growth; Health; Health Policy; Health Professional; Health Sciences; Health system; HIV; Home environment; Human Resources; improved; Income; Individual; innovation; interest; International; international partnership; Kenya; Knowledge; Leadership; Learning; Left; low and middle-income countries; Master's Degree; medical schools; Mentors; neglected tropical diseases; North America; Nurses; Participant; Persons; Pharmacy facility; Policies; Policy Maker; Population; Privatization; Program Research Project Grants; programs; Provider; Public Health; public health relevance; Rennie; Research; Research Ethics; Research Institute; Research Personnel; Resources; retention rate; role model; Rwanda; Safety; Science; Services; skills; Social Welfare; Specialist; Students; Tanzania; Time; Training; Training Programs; Uganda; United States Public Health Service; Universities; Vision; Work; ,International Health Research Ethics Training Program,9730,ZRG1,Special Emphasis Panel ,,,5,222470,17798,240268,
9402651,R01,HL,5,N,1/12/2018,1/1/2018,12/31/2018,839,R01HL130724,,PA-13-302,5R01HL130724-02,NHLBI:538412\,Non-SBIR/STTR RPGs,2018,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",,MILWAUKEE,UNITED STATES,,4,57163172,US,5304801,"BLOODCENTER OF WISCONSIN, INC.",WI,532332121,"PROJECT NARRATIVE This study aims to understand the cause of heparin-induced thrombocytopenia, one of the most common drug- induced life-threatening blood diseases, and is expected to identify specific targets for developing novel and effective ways for diagnosis, control, prevention and treatment of this disease.",6724765; ,"WANG, DEMIN ;","CHANG, HENRY",1/1/2017,12/31/2020,"Affect; Alpha Granule; anergy; Antibodies; Antibody Formation; Antibody Response; Antibody-Producing Cells; Autoimmune Diseases; Autoimmunity; B-Cell Development; B-Lymphocyte Subsets; B-Lymphocytes; base; Blood Cells; Blood Platelets; CD4 Positive T Lymphocytes; Cell physiology; Cells; cellular targeting; Cloning Vectors; Complex; Critical Pathways; Diagnosis; Disease; Epitopes; Event; Exhibits; expression vector; Frequencies; Genes; Grant; Helper-Inducer T-Lymphocyte; Hematological Disease; Heparin; High-Throughput RNA Sequencing; Human; Immune; Immune response; Immune Tolerance; Immunoglobulin G; Immunoglobulin Variable Region; Immunoglobulins; Immunologic Memory; In Vitro; Kinetics; Lead; Life; Light; Mature B-Lymphocyte; Mediating; Medicine; Memory B-Lymphocyte; Molecular; mouse model; Mus; Mutation; novel; novel diagnostics; Pathogenesis; Pathogenicity; Pathway interactions; Patients; Pattern; Peptides; Pharmaceutical Preparations; Phospholipase C; Platelet Factor 4; Play; Prevention; Production; Property; Prophylactic treatment; Proteins; Receptor Signaling; Receptors, Antigen, B-Cell; Regulation; response; Role; Self Tolerance; Signal Pathway; Signal Transduction; Signaling Molecule; Site; Somatic Mutation; Source; Structure of germinal center of lymph node; T-Lymphocyte; Testing; Thrombocytopenia; tool; Transfusion; V(D)J Recombination; ",B cell responses in heparin-induced thrombocytopenia,130724,HT,Hemostasis and Thrombosis Study Section ,,,2,322403,216009,538412,
9405549,F30,EY,5,N,12/15/2017,1/11/2018,1/10/2019,867,F30EY025510,SCHOOLS OF MEDICINE,PA-14-150,5F30EY025510-03,NEI:44256\,"TRAINING, INDIVIDUAL",2018,NATIONAL EYE INSTITUTE,,HOUSTON,UNITED STATES,NEUROSCIENCES,9,51113330,US,481201,BAYLOR COLLEGE OF MEDICINE,TX,770303411,"PUBLIC HEALTH RELEVANCE: Decision-making is typically difficult because our sensory observations are often corrupted by uncertainty, and in optimally making decision, we must take into account the current level of sensory uncertainty. Using a state of the art neuronal population recording and carefully crafted behavioral task, we will study how uncertainty is represented in the brain, directly testing a leading framework for sensory information encoding for the first time This project will serve as a critical step in understanding neural code and provide a basis for improved decoding of information from the brain that will allow for the development of more efficient and intuitive to use neuroprosthetic devices, with a potential to improve quality of lifeof large clinical populations suffering from sensorimotor disabilities.",10639780; ,"WALKER, EDGAR YASUHIRO;","AGARWAL, NEERAJ",1/11/2016,1/10/2019,Affect; Afferent Neurons; Animals; Area; area striata; base; Bayesian Analysis; Bayesian Modeling; Behavior; behavior measurement; Behavioral; behavioral study; Biological Neural Networks; Brain; Classification; Clinical; Code; computational neuroscience; computer based statistical methods; Decision Making; Decision Modeling; design; Development; Devices; disability; Electrophysiology (science); Generations; Goals; Human; Image; improved; Intuition; Knowledge; Laboratories; Life; Likelihood Functions; Maximum Likelihood Estimate; Measures; Methods; Monkeys; multi-electrode arrays; Nature; neural patterning; Neurons; neuroprosthesis; Neurosciences; next generation; Noise; operation; Organism; patient population; Pattern; Performance; Physiological; Population; Prefrontal Cortex; Primates; Probability; Process; Psychophysics; public health relevance; Quality of life; relating to nervous system; Retinal; Role; Scheme; sensor; Sensory; sensory cortex; sensory input; Speed; Stimulus; System; Task Performances; Testing; Time; Uncertainty; Visual; Width; Work; ,Representation and propagation of uncertainty information in cortical populations,25510,ZRG1,Special Emphasis Panel ,,,3,44256,,44256,
9406148,R01,HL,5,N,1/12/2018,1/1/2018,12/31/2018,838,R01HL132198,SCHOOLS OF MEDICINE,PA-13-302,5R01HL132198-02,NHLBI:497861\,Non-SBIR/STTR RPGs,2018,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",,NEW YORK,UNITED STATES,INTERNAL MEDICINE/MEDICINE,12,60217502,US,1514803,WEILL MEDICAL COLL OF CORNELL UNIV,NY,100654805,"Chronic obstructive lung disease (COPD) represents a disabling chronic lung disease that lacks effective therapies. While a past history of smoking predisposes to developing COPD, we do not understand the individual factors determining the development of this dreadful disease. We have discovered that the autophagy process is critical in the pathogenesis of COPD and a better understanding of the impact and regulation of autophagy in COPD will offer new avenues for the development of therapies.",1864413; ,"CHOI, AUGUSTINE M;","POSTOW, LISA",1/1/2017,12/31/2020,Address; Affect; Apoptosis; Autoimmunity; Autophagocytosis; Biogenesis; Bronchitis; Cell Death; cell growth regulation; cell injury; Chronic lung disease; Chronic Obstructive Airway Disease; cigarette smoking; Complex; Degradation Pathway; Development; Disease; effective therapy; environmental tobacco smoke exposure; Epithelial Cells; Experimental Models; Fatty Acids; functional disability; Functional disorder; Human; Impairment; Individual; Infection; Inflammation; Lung; Lung diseases; Lysosomes; Membrane Potentials; Metabolic; Metabolic Pathway; metabolic profile; Mitochondria; mitochondrial autophagy; Mitochondrial DNA; mitochondrial dysfunction; Mitochondrial Swelling; mortality; Mus; Organelles; Outcome; Oxidative Phosphorylation; Oxidative Stress; pathogen; Pathogenesis; Pathogenicity; Pathway interactions; Patients; Peptide Hydrolases; PINK1 gene; Process; Production; programs; Protease Inhibitor; Proteins; Publishing; Pulmonary Emphysema; Reactive Oxygen Species; Regulation; Resistance; response; Risk Factors; Smoking History; Testing; therapy development; Tissues; ,Metabolic dysfunction regulates mitophagy-dependent necroptosis in COPD,132198,LCMI,"Lung Cellular, Molecular, and Immunobiology Study Section ",,,2,293724,204137,497861,
9410529,R35,HL,5,N,1/8/2018,1/1/2018,12/31/2018,837,R35HL135754,SCHOOLS OF MEDICINE,RFA-HL-16-024,5R35HL135754-02,NHLBI:872679\,Non-SBIR/STTR RPGs,2018,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",,COLUMBUS,UNITED STATES,PHYSIOLOGY,3,832127323,US,6218701,OHIO STATE UNIVERSITY,OH,432101016,"Project Narrative  Defects in cardiac excitability are the basis for human arrhythmia and sudden cardiac death, a leading cause of mortality in developed countries. Our goal is to discover novel integrated mechanisms for regulating cardiovascular cell excitability and signaling. We have used the informative case of ankyrins and spectrins as a tractable starting point, but propose to rapidly extend these studies to new systems with diverse interacting structure-electrical-signaling systems.",8260729; ,"MOHLER, PETER J.;","SHI, YANG",1/6/2017,12/31/2023,"Adrenergic beta-Antagonists; Angiotensin-Converting Enzyme Inhibitors; Ankyrins; Arrhythmia; Award; base; Biological Models; Biology; Cardiac; Cardiac Myocytes; Cardiovascular system; Carrier Proteins; cell growth regulation; Cells; Clinical; Clinical Data; Complex; Data; Death, Sudden, Cardiac; Defect; design; Developed Countries; Developing Countries; Diagnosis; Disease; Functional disorder; Funding; Genetic; Goals; Health; Heart; Heart Diseases; Human; human disease; improved; innovation; insight; Ion Channel; Laboratories; Lead; Membrane; mortality; National Heart, Lung, and Blood Institute; novel; Oxidases; Pathway interactions; Patients; Pharmacology; Phosphoric Monoester Hydrolases; Phosphotransferases; Physiological; Play; Proteins; Pump; Research Personnel; Role; Signal Transduction; Signaling Protein; Spectrin; Structural Protein; Structure; System; targeted treatment; Therapeutic Agents; Tissues; Ventricular; Ventricular Arrhythmia; ",Defining novel mechanisms for human arrhythmia,135754,ZHL1,Special Emphasis Panel ,,,2,573371,299308,872679,
9412435,R21,AR,5,N,1/11/2018,1/1/2018,12/31/2018,846,R21AR069285,SCHOOLS OF MEDICINE,PAR-14-192,5R21AR069285-02,NIAMS:188090\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,,PITTSBURGH,UNITED STATES,INTERNAL MEDICINE/MEDICINE,14,4514360,US,2059802,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,152132303,"This project proposes to provide early data supporting development of a new medication, dimethyl fumarate, for patients with systemic sclerosis complicated by pulmonary arterial hypertension. Current medications for this disease are not very effective, so we expect this medication might have a more dramatic effect to improve patient's health and longevity.",1881372; 1858978 (contact); ,"HASSOUN, PAUL M.; LAFYATIS, ROBERT A. (contact);","WITTER, JAMES",1/12/2017,12/31/2019,Academic Medical Centers; Adverse effects; Adverse event; Affect; Aftercare; Antioxidants; Autoimmune Diseases; Autoimmune Responses; Binding; Biological Markers; Blood Vessels; Boston; Brain natriuretic peptide; Cause of Death; CCL2 gene; CCR1 gene; Cell Adhesion; Cell Adhesion Molecules; Cells; Clinical; clinical efficacy; Clinical Trials; Complex; Complication; Controlled Clinical Trials; Data; design; Development; Disease; DNA; Double-Blind Method; Dropout; Drug Targeting; Endoglin; Endostatins; Endothelial Cells; Endothelin-1; Ensure; Enzymes; Fibrosis; Fumarates; Future; Genes; Genetic Transcription; Health; Heart Diseases; Hospitals; Human; IL13RA1 gene; immune activation; improved; in vivo; Inflammation; Inflammatory; insight; Interleukin-6; Interstitial Lung Diseases; JAK2 gene; Kidney Diseases; Lipids; Longevity; Lung; Lung diseases; Measures; Mediating; Medical center; Molecular; mortality; mouse model; Multiple Sclerosis; multiple sclerosis treatment; nuclear factor-erythroid 2; Organ; Outcome Measure; Oxidants; oxidation; oxidative damage; Oxidative Stress; Pathogenesis; Pathology; Pathway interactions; patient population; Patients; Performance; Peripheral Blood Mononuclear Cell; Pharmaceutical Preparations; pharmacodynamic biomarker; Phase; pilot trial; Placebo Control; placebo controlled study; Placebos; Play; preclinical study; primary outcome; Process; Prostaglandins; protein biomarkers; Proteins; pulmonary arterial hypertension; Recruitment Activity; response; Rheumatism; Role; Safety; safety study; Series; Serum Proteins; Severity of illness; Skin; standard of care; Subgroup; Symptoms; Systemic Scleroderma; Therapeutic Effect; Universities; Vascular Diseases; Vascular Endothelial Growth Factors; Vasodilator Agents; von Willebrand Factor; Walking; ,Dimethyl Fumarate In Systemic Sclerosis-Associated Pulmonary Arterial Hypertension,69285,AMSC,Arthritis and Musculoskeletal and Skin Diseases Clinical Trials Review Committee ,,,2,141918,46172,188090,
