APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
9541906,F31,DA,1,N,2/16/2018,3/1/2018,2/28/2019,279,F31DA045511,GRADUATE SCHOOLS,PA-16-309,1F31DA045511-01A1,NIDA:32183\,"TRAINING, INDIVIDUAL",2018,NATIONAL INSTITUTE ON DRUG ABUSE,,GALVESTON,UNITED STATES,PHARMACOLOGY,14,800771149,US,578406,UNIVERSITY OF TEXAS MED BR GALVESTON,TX,775555302,"PROJECT NARRATIVE 5-HT2C receptor positive allosteric modulators (PAMs) can functionally enhance receptor signaling towards a neurotherapeutic endpoint, while maintaining a highly-selective profile. 5-HT2C PAMs represent an innovative strategy to potentially suppress relapse in patients with cocaine use disorder. Improved 5-HT2C PAMs must be synthesized and characterized to continue towards neurotherapeutic development.",14277186; ,"WOLD, ERIC A.;","BABECKI, BETH",3/1/2018,2/28/2021,Abstinence; Address; Affinity; Agonist; Alcohols; Allosteric Site; analog; base; Behavior Therapy; Behavioral; Binding; Biological; Biological Assay; Calcium; Cells; Characteristics; Chemicals; Chinese Hamster Ovary Cell; Clinical; clinically relevant; Cocaine Dependences; cocaine use; computational chemistry; counterscreen; Data; design; Development; Diglycerides; Disease; drug candidate; Drug Design; drug discovery; Drug Kinetics; drug of abuse; Drug Use Disorder; effective intervention; Exhibits; experience; Experimental Designs; experimental study; Family; FDA approved; flexibility; Fluorine; Fostering; Functional disorder; G-Protein-Coupled Receptors; Goals; Head; High Pressure Liquid Chromatography; HTR2A gene; improved; In Vitro; in vivo; innovation; Inositol; insight; instrumentation; Intervention; Intuition; Knowledge; Lead; Ligands; lipophilicity; Mass Spectrum Analysis; Medial; Mediating; Mental disorders; Metabolism; Molecular; Molecular Conformation; Neurobiology; Neuropharmacology; Neurosciences; Neurotransmitters; Nicotine; NMR Spectroscopy; novel; Opioid; Organic Chemistry; Pathologic; Pathologic Processes; Patients; Pharmaceutical Chemistry; Pharmaceutical Preparations; Pharmacology; Pharmacotherapy; Phenotype; Phospholipase; Play; positive allosteric modulator; Positron-Emission Tomography; pre-clinical; Pre-Clinical Model; preclinical development; Prefrontal Cortex; Property; Psychostimulant dependence; Public Health; Radiolabeled; radioligand; receptor; receptor function; Receptor Signaling; Relapse; Resolution; Role; Serotonin; serotonin receptor; Serotonin Receptor 5-HT2B; Serotonin Receptor 5-HT2C; Signal Transduction; Site; Structure-Activity Relationship; System; Tail; Technical Expertise; Therapeutic; therapeutic candidate; tool; Tracer; tripolyphosphate; Work; ,5-HT2C Receptor PAMs as Neurotherapeutics for Cocaine Use Disorder,45511,ZRG1,Special Emphasis Panel ,,A1,1,32183,,32183,
9554057,P30,CA,5,N,3/28/2018,3/1/2018,2/28/2019,,P30CA015083,,PAR-12-298,5P30CA015083-44,NCI:181799\,RESEARCH CENTERS,2018,NATIONAL CANCER INSTITUTE,,ROCHESTER,UNITED STATES,,1,6471700,US,4976101,MAYO CLINIC ROCHESTER,MN,559050001,,6192240; ,"DIASIO, ROBERT B.;","SHAFIK, HASNAA",,,Accountability; American; Antiemetics; Arizona; Cancer Patient; chemotherapy; Clinic; Clinical Protocols; Clinical Research; Clinical Trials; Comprehensive Cancer Center; Cytotoxic Chemotherapy; data management; Development; Dose; Drug Storage; Ensure; experience; Florida; Grant; Growth Factor; Guidelines; Health system; Hematology; high standard; Immunomodulators; Investigation; Joint Commission on Accreditation of Healthcare Organizations; Malignant Neoplasms; Mayo Clinic Cancer Center; Medical Oncology; member; Modification; Monograph; patient oriented; Patients; Pharmaceutical Cares; Pharmaceutical Preparations; Pharmaceutical Services; Pharmacy facility; Policies; Preparation; Procedures; programs; protocol development; Protocols documentation; Resource Sharing; Services; Societies; Supportive care; Therapeutic Agents; Training; United States Public Health Service; ,Pharmacy Shared Core,15083,NCI,Subcommittee I - Transistion to Independence ,7923,,44,114239,67560,,181799
9560456,P30,CA,3,N,3/27/2018,3/1/2016,2/28/2019,397,P30CA072720,OVERALL MEDICAL,PAR-11-005,3P30CA072720-19S6,NCI:2651316\,RESEARCH CENTERS,2018,NATIONAL CANCER INSTITUTE,,NEW BRUNSWICK,UNITED STATES,NONE,6,78728091,US,10034166,RBHS -CANCER INSTITUTE OF NEW JERSEY,NJ,89011914,"RELEVANCE (See instructions):  The mission ofthe CINJ is to conduct innovative basic, clinical and population research that:  1. Expands our understanding of the etiology and biology of cancer.  2. Facilitates the rapid translation of laboratory-based discoveries into human studies.  3. Develops new approaches and interventions for cancer prevention that decrease cancer incidence and mortality.  4. Develops new and better therapies to decrease suffering and mortality from cancer.(2)    Fulfillment of this mission will be achieved in an environment that values diversity and  fairness(3), and one that is dedicated to the development of the next generation of physicians and scientists and to delivering comprehensive and  compassionate patient care.(4)",9845089; ,"LIBUTTI, STEVEN KENNETH;","ROBERSON, SONYA",3/1/1997,2/28/2019,animal imaging; anticancer research; Appointment; Area; authority; Award; base; Basic Science; biobank; Bioinformatics; Bioinformatics Shared Resource; Biology; Biometry; Cancer Biology; Cancer Center; Cancer Center Support Grant; Cancer Control; Cancer Institute of New Jersey; cancer pharmacology; cancer prevention; Cancer Prevention Intervention; carcinogenesis; Caring; Cell Death; Cell Separation; Cell Survival; Chemoprevention; Clinic; Clinical; clinical investigation; Clinical Research; Clinical Sciences; clinical translation; Clinical Trials; Collaborations; Comprehensive Cancer Center; Computational Biology; Contracts; Data; Dentistry; Development; Discipline; Drug Kinetics; Education and Outreach; Environment; Epidemiology; Etiology; Evaluation; expectation; Faculty; Faculty Recruitment; Flow Cytometry; Fostering; Foundations; functional genomics; Funding; Genomic Instability; Geography; Goals; Grant; Growth; Guidelines; health science research; Health Sciences; Histopathology; Hospitals; Human; Image; improved; Incidence; innovation; Institutes; Institution; Instruction; interdisciplinary collaboration; Knockout Mice; Laboratories; Lead; Leadership; Malignant Neoplasms; medical schools; Medicine; member; metabolomics; Mission; Monitor; mortality; multidisciplinary; National Cancer Institute; neoplasm registry; New Jersey; next generation; novel strategies; oncology; Patient Care; Peer Review; Pharmacodynamics; Pharmacy facility; Physicians; Population; Population Programs; Population Research; Population Sciences; pre-clinical; Privatization; programs; Protocols documentation; Public Health; Publications; recruit; Research; research and development; Research Personnel; Research Support; Resource Sharing; Resources; Role; Safety; Schools; Science; Scientist; Services; Signal Transduction; Structure; success; symposium; Systems Biology; Therapeutic; Therapeutic Clinical Trial; Time; TimeLine; Training and Education; Transgenic Mice; translational cancer research; Translational Research; Translations; tumor growth; Universities; Vision; Wood material; ,Cancer Center Support Grant,72720,NCI,Subcommittee I - Transistion to Independence ,,S6,19,1680409,970907,2651316,
9616904,P30,CA,3,N,3/27/2018,1/1/2018,12/31/2018,397,P30CA008748,,PAR-12-298,3P30CA008748-52S2,NCI:62875\,RESEARCH CENTERS,2018,NATIONAL CANCER INSTITUTE,,NEW YORK,UNITED STATES,,12,64931884,US,5079202,SLOAN-KETTERING INST CAN RESEARCH,NY,100656007,"RELEVANCE (See instructions): Memorial Sloan-Kettering Cancer Center (MSKCC) is a free-standing institution dedicated to the control of cancer through inpatient and outpatient care, clinical and research training programs, and a broad spectrum of research activities.",1864752; ,"THOMPSON, CRAIG B;","LIN, ALISON J",1/20/1997,12/31/2018,Ambulatory Care; Area; base; Basic Science; Cancer Biology; Cancer Center Support Grant; Cancer Control; Categories; cell behavior; Clinical; Clinical Research; Core Facility; design; Detection; Development; Diagnosis; Experimental Pathology; Funding; genome integrity; Image; Immunology; Inpatients; Institution; Instruction; Investigational Therapies; Laboratories; Malignant Neoplasms; Memorial Sloan-Kettering Cancer Center; Mission; Molecular Structure; multidisciplinary; NCI Center for Cancer Research; Outcome; patient oriented research; patient population; Pilot Projects; Population Sciences; Prevention; Primates; programs; Radiation; recruit; Regulation; Research; Research Activity; research facility; Research Personnel; Research Training; Risk; Science; Services; standard care; stem cell biology; survivorship; Training Programs; Transplantation; Vision; Work; ,Cancer Center Support Grant,8748,NCI,Subcommittee I - Transistion to Independence ,,S2,52,36683,26192,62875,
9643884,I01,VA,5,N,3/27/2018,2/1/2018,12/31/2018,999,I01RX001532,,RFA-RX-13-001,5I01RX001532-05,,Non-SBIR/STTR RPGs,2018,Veterans Affairs,,MATHER,UNITED STATES,,7,127349889,US,10019212,VA NORTHERN CALIFORNIA HEALTH CARE SYS,CA,956554200,"PUBLIC HEALTH RELEVANCE:     An unfortunately common syndrome that affects many individuals following stroke is an impairment in speech and language. A number of treatments are available for these impairments but their effectiveness varies among different individuals. The current study is focused on identifying the brain factors that explain why some individuals respond better to speech treatment than others. We will do this by using state-of-the-art MRI brain imaging techniques. These imaging methods will also allow us to measure changes in the brains of individuals that occur in response to the treatment. Findings from this study will provide clinicians with critical information that they can use to tailor their treatment plans to those patients who can best benefit from a particular speech intervention. In addition, the identificatio of particular brain regions that are critical for response to speech treatment can lead to novel, targeted pharmacologic and stimulation interventions for speech and language disorders.",9714872; ,"BALDO, JULIANA V.;",,2/1/2014,12/31/2018,Address; Affect; Aftercare; Anisotropy; Apraxias; Articulation; Augmentative and Alternative Communication; base; Biological Markers; Brain; Brain imaging; Brain region; California; capsule; Clinical; Communication; Cues; Diffusion; Disease; effective intervention; Effectiveness; Exclusion Criteria; Exhibits; Fiber; Functional Imaging; Goals; gray matter; Homologous Gene; Image; imaging modality; Imaging Techniques; Impairment; improved; inclusion criteria; Individual; Instruction; Insula of Reil; interest; Intervention; kinematics; Language; Language Disorders; Lead; Left; Lesion; Literature; Magnetic Resonance Imaging; Maps; Measures; Medial; Mission; Modeling; Motor; negative affect; neural correlate; neuromechanism; Neuronal Plasticity; novel; Participant; Pathologist; Pathway interactions; Patient Care; Patient Education; patient population; Patients; Pharmacology; Phase; Play; Precentral gyrus; predicting response; Production; prospective; public health relevance; Quality of life; reconstruction; Recovery; recruit; reduce symptoms; Rehabilitation therapy; relating to nervous system; Research; Residual state; response; response biomarker; Role; Running; Scanning; Site; sound; Source; Speech; speech accuracy; Speech Disorders; Stimulus; stroke; Symptoms; Syndrome; Techniques; Testing; Therapeutic; Time; tool; tractography; Training; treatment effect; treatment planning; treatment program; Treatment Protocols; treatment response; white matter; Work; ,Brain Biomarkers of Response to Treatment for Apraxia of Speech,1532,RRD3,Sensory Systems/Communication Disorders ,,,5,,,,
9652668,I01,VA,5,N,3/27/2018,1/1/2018,12/31/2018,999,I01RX001127,,RFA-RX-13-005,5I01RX001127-05,,Non-SBIR/STTR RPGs,2018,Veterans Affairs,,PITTSBURGH,UNITED STATES,,12,33127569,US,481080,VETERANS HEALTH ADMINISTRATION,PA,152401003,"PUBLIC HEALTH RELEVANCE:     Traumatic Brain Injury (TBI) is the 'signature injury' in the recent conflicts in Iraq and Afghanistan, with blast events accounting for nearly 70% of injuries in wounded service members. TBI is a major cause of cognitive deficits and can result in both short-term and long-term physiological and psychological disorders in returning combat veterans. Neurotransmitter release from neurons is required for normal brain function. TBI can produce diminished neurotransmitter release, but the causes are unknown. Pharmacotherapies are needed to restore this vital neuronal function to aid Veterans seeking assistance in VA clinics for TBI- related symptoms.",6201581; ,"DIXON, C EDWARD;",,1/1/2014,12/31/2018,Accounting; Acetylcholine; Afghanistan; Attenuated; Blast Cell; Brain; Brain-Derived Neurotrophic Factor; Cell membrane; Chronic; Clinic; Cognitive deficits; cognitive function; combat; Communication; Complex; Conflict (Psychology); Corpus striatum structure; Craniocerebral Trauma; cysteine string protein; disabling symptom; Dopamine; Dose; Early Intervention; Event; Explosion; Exposure to; Freedom; functional outcomes; Goals; high risk; Hippocampus (Brain); Histopathology; Impaired cognition; Impairment; improved; Individual; Injury; Intervention; Iraq; Lithium; Long-Term Effects; Mental disorders; Military Personnel; Molecular Chaperones; Motor; Mus; Neurons; neurotransmission; neurotransmitter release; novel; operation; Pathology; Performance; Persons; Pharmacotherapy; Physiological; Play; presynaptic; Process; public health relevance; receptor; Recovery; Residual state; restoration; Role; Scaffolding Protein; service member; Severities; SNAP receptor; spatial memory; Symptoms; Synapses; Synaptic Vesicles; synaptosomal-associated protein 25; syntaxin 1; Therapeutic; Transgenic Mice; Transgenic Organisms; Traumatic Brain Injury; VAMP-2; Veterans; War; ,Chronic Lithium Therapy for Traumatic Brain Injury,1127,RRD1,Brain Injury: TBI & Stroke  ,,,5,,,,
9674246,U54,MD,3,N,3/28/2018,3/1/2018,2/28/2019,,U54MD011240,,RFA-MD-15-014,3U54MD011240-03S1,NIMHD:119769\,RESEARCH CENTERS,2018,National Institute on Minority Health and Health Disparities,,PULLMAN,UNITED STATES,,5,41485301,US,9082001,WASHINGTON STATE UNIVERSITY,WA,991641060,,1871775; ,"BUCHWALD, DEDRA S;","ZHANG, XINZHI",,,Accelerometer; Address; Adverse event; Alaska Native; American Indians; Appointment; Area; Budgets; Cardiovascular Diseases; Chronic Disease; Clinical Trials Data Monitoring Committees; Collaborations; Colorado; Communities; Community Actions; community based participatory research; Community Health; Community Health Centers; Community Health Education; community partnership; Data; design; Doctor of Philosophy; Education; Education and Outreach; Educational Activities; Ensure; Evaluation; Goals; Health; health disparity; Human Resources; Hypertension; implementation research; Information Dissemination; innovation; Institutes; Institution; Institutional Review Boards; Intervention; Leadership; Logistics; medical schools; meetings; member; Methodology; Methods; minority communities; minority health; Mission; Monitor; Native Hawaiian; Needs Assessment; operation; outreach; Pacific Island Americans; Policies; Population; Preparation; Principal Investigator; Process; Production; professor; programs; public health relevance; Publications; Regulation; Research; Research Activity; Research Infrastructure; Research Support; Resources; Risk; Risk Factors; Rural Community; Scholarship; Science; Scientist; Serious Adverse Event; sharing data; stroke; success; Supervision; Technology; Time; Travel; Underserved Population; United States National Institutes of Health; Universities; Washington; Work; working group; ,Administrative Core,11240,ZMD1,Special Emphasis Panel ,6665,S1,3,95055,24714,,119769
9674288,U01,DD,6,N,3/27/2018,9/1/2017,8/31/2018,93.945,U01DD001035,SCHOOLS OF PUBLIC HEALTH,RFA-DD-13-003,6U01DD001035-05M001,,Non-SBIR/STTR RPGs,2018,National Center on Birth Defects and Developmental Disabilities,,IOWA CITY,UNITED STATES,PUBLIC HEALTH & PREV MEDICINE,2,62761671,US,3972901,UNIVERSITY OF IOWA,IA,522421320,,1972974; ,"ROMITTI, PAUL A;","SHAW, SUSAN",9/1/2013,8/31/2018,,Iowa CBDRP: Birth Defects Study To Evaluate Pregnancy exposureS,1035,ZDD1,Special Emphasis Panel ,,M001,5,,,945486,
9674289,U01,CK,6,N,3/26/2018,9/1/2017,8/31/2018,93.942,U01CK000492,SCHOOLS OF ARTS AND SCIENCES,RFA-CK-16-002,6U01CK000492-02M002,NCZVBED:822079\,Non-SBIR/STTR RPGs,2018,National Center for Emerging and Zoonotic Infectious Diseases (NCEZID),,DANBURY,UNITED STATES,BIOLOGY,5,10138915,US,2008301,WESTERN CONNECTICUT STATE UNIVERSITY,CT,68106826,,10004315; ,"CONNALLY, NEETA PARDANANI;","SMUTZ, PAUL",9/1/2016,8/31/2020,,Spatially Scalable Integrated Tick Vector/Rodent Reservoir Management to Reduce Human Risk of Exposure to Ixodes scapularis Ticks Infected with Lyme Disease Spirochetes,492,ZCK1,Special Emphasis Panel ,,M002,2,,,497698,
9676957,U54,OH,6,N,3/30/2018,9/30/2017,9/29/2018,93.957,U54OH007550,SCHOOLS OF MEDICINE,PAR-15-353,6U54OH007550-17M001,,RESEARCH CENTERS,2018,NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH,,DAVIS,UNITED STATES,PUBLIC HEALTH & PREV MEDICINE,3,47120084,US,577503,UNIVERSITY OF CALIFORNIA AT DAVIS,CA,956186153,,15265135; ,"CDC DEFAULT PERSON, CDC DEFAULT PERSON ;","DEARWENT, STEVE",9/30/2001,9/29/2021,,Reducing occupational exposure to zoonotic pathogens in California dairy farm workers,7550,ZOH1,Special Emphasis Panel ,,M001,17,,,2059279,
