APPLICATION_ID,ABSTRACT_TEXT
9569064,"The Interventional Agent Development Services program provides services to facilitate preclinical development of therapeutics and new in vivo diagnostics for infectious disease-causing pathogens and/or toxins, such as imaging and skin test reagents. Services include: lead identification and development; chemistry and manufacturing; in vitro and in vivo preclinical safety, toxicology and biokinetics; and preclinical development, planning and evaluation."
9537875,"This contract provides for the development and standardization of animal models for infectious diseases, and may include efficacy testing of candidate products."
9567719,"This contract provides access to standard, murine models of bacterial thigh and lung infections to evaluate antibacterial candidates for a wide range of gram negative and gram positive bacterial infections, including resistant bacterial infections."
9478006,"The aim of this Task Order modification is to support a pilot test to obtain medical claims data from Unlimited System, a medical claims aggregator (also referred to as a clearinghouse). Medical claims aggregators receive, edits, and submit insurance claims from medical practices. Working through a medical claims aggregator will ensure that this pilot test is conducted in the most efficient and cost effective manner because the desired oncology practice will be able to be recruited directly through the aggregator and once recruited the aggregator will directly submit their claims data. Also, since oncology practices are required to by law to submit data on newly diagnosed cases of cancer it is hoped that the option of claims aggregator submitted data will prove appealing. The goal of this pilot is to evaluate the feasibility of utilizing medical claims data to obtain longitudinal treatment data."
9529451,"This program is comprised of a consortium of individual contracts within academic centers and organizations that provide a ready resource for the design and conduct of clinical trials to evaluate promising products to combat infectious diseases.  In general, products will be evaluated in normal healthy populations; however, access to special populations is also available."
9478660,"Perform computing services required by programs and projects in the Division of Cancer Prevention, NCI. Specifically, the Contractor shall provide programming and data management services for the Office of the Director and the Research Groups in DCP. The Tasks will include (1) Project Management; (2) Data Management; (3) Computer Programming; (4) Computing Infrastructure Services; (5) Website Development; and, (6) Systems Design and Development."
9527704,"The National Institute of Mental Health (NIMH), the Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD), and the National Institute of Neurological Diseases and Stroke (NINDS), National Institutes of Health, seek to make human brain tissue and biospecimen samples more widely available for research on neurological, psychiatric, and neurodevelopmental disorders. The objective of this initiative is to increase availability of human disease and control biospecimens, increase proactive involvement of the disease advocacy and patient communities, and more efficiently acquire, curate, store, and distribute these tissues with the ultimate goal of reducing the burden of nervous system disorders. In order to do so, the NIH intends to establish multiple contract collection sites (i.e., the NIH Brain and Tissue Repositories (NBTR)) to provide services that will actively acquire, receive, process, store, curate, preserve, and distribute central nervous system and related biological specimens (including fetal tissues) to qualified investigators. These services were previously provided through grants that have expired and/or will be expiring in the coming years. The NIH will now continue these existing services through competitively awarded contracts. New sources are also encouraged to compete."
9568935,To investigate the utility of the Cough Collector design for use in a pediatric population to capture airborne bacteria directly from a cough to facilitate rapid diagnosis of infection.
9573705,"The goal of the Structural Genomics Centers for Infectious Diseases is to apply state-of-the-art, high-throughput structural biology technologies to experimentally characterize the three-dimensional atomic structure of targeted proteins on the NIAID Category A-C priority pathogens list and organisms causing emerging and re-emerging infectious diseases. This program also supports research projects that utilize the 3D structure information and experimental approaches to better characterize the molecular functional role of protein targets. The primary focus of the Center is pathogen proteins that are expected to have an important biological role and a potential impact on biomedical research."
9569761,"The Atherosclerosis Risk in Communities (ARIC) Study was initiated in 1985 with two components: community-based surveillance and a prospective cohort study. The community surveillance aimed to monitor trends in hospitalized myocardial infarction (MI), fatal coronary heart disease (CHD) in four U.S. communities: Forsyth County, NC; Jackson, MS; suburbs of Minneapolis, MN; and Washington County, MD. Surveillance for hospitalized heart failure (HF) events was added in 2005. The communities were selected to provide data across four (4) geographic locations with a range of mortality rates, in urban, suburban, and rural settings. The cohort study aimed to investigate the risk factors for and natural history of atherosclerosis and development of clinical atherosclerosis in middle-aged white or African American adults from the same communities. The study recruited in 15,792 white or African American participants initially aged 45-64 years and selected participants received triennial clinical exams over the first ten years of the study (1987-1989, 1990-1992, 1993-1995, and 1996-1998), with a fifth clinical exam in 2011-2013, providing a rich set of data on physical, behavioral, genetic, and psychosocial factors. Since 1988, the cohort has been contacted annually and in 2011 semiannual follow-up was initiated. Findings have been presented in over 1,400 publications as of 2014. Participants were examined for evidence of subclinical atherosclerosis using B-mode ultrasound in carotid and popliteal arteries, ankle-brachial index measurement, and retinal photography and, in subsets, abdominal aortic CT, and hemostatic factors; established and putative laboratory risk markers; socioeconomic, psychological, behavioral, and environmental characteristics; and genetic factors. Examinations included a variety of components, with a grant-funded detailed cognitive function testing component added in the most recent exam."
