"APPLICATION_ID","ABSTRACT_TEXT"
"9456783","Abstract The Summer Undergraduate Research in Physiology (SURP) program at the University of Michigan (UM), currently funded by the R25HL108842 (?Promoting Diversity of Future Scientists?), is proposed to be extended to another five incoming classes to provide training for underrepresented students to enter advanced graduate programs or pursue careers in biomedical and clinical research. The renewal SURP program includes 25 excellent faculty mentors from 5 basic science and 7 clinical departments within the UM Medical School, who have collectively mentored 114 summer undergraduate trainees, 51 of whom from underrepresented backgrounds. During the past four years, we evaluated 153 applications and enrolled 36 students from across the US. Notably, 91% (21/23) of our SURP trainees who have finished their undergraduate degrees are pursuing advanced graduate degrees, or holding technical positions in academic biomedical research settings or in private sectors. Five of the 36 students have published at least one paper with their research mentors, and at least eight more manuscripts are in progress. The focus of this renewal application is to continue the successful SURP program by recruiting 10 students per summer. Our 12-week summer research program includes (1) fulltime hands-on research experience in laboratories of our faculty mentors, (2) mentoring meetings to ensure that student trainees are taking maximum advantages of all the resources available to them; and (3) end of summer mini-symposium with oral presentations given by the students sharing their research projects. The SURP educational program incorporates a noon lecture series, designed specifically for the summer trainees and presented by faculty members, that teaches important physiology and research- related principles, including the use of different model organisms, ethics in laboratory research, and career opportunities in biomedical sciences. The SURP research education program will continue to be under the oversight of an Internal Advisory Committee, and student selection and progress monitoring accomplished by a Student Selection and Mentoring Committee. As such, we are fully committed to providing training to talented college students, from currently underrepresented backgrounds, to meet the needs of an increasingly diverse population."
"9604717","?    DESCRIPTION (provided by applicant): The long-term objectives of this renewal application continue to focus on investigating the molecular physiology of the intestinal absorption process of the water- soluble vitamin biotin, the transport system involved, i.e., the Sodium-dependent Multi- Vitamin Transporter (SMVT), and how the absorption process is affected by external/environmental factors and pathophysiological conditions.  Biotin is indispensable for normal cellular metabolism, proliferation and survival. The vitamin acts as a co-factor for multiple carboxylases that play critical roles in fatty acid, glucose and amino acid metabolism. Emerging evidence also highlight an important roles for biotin in immune function and in gene expression.  Humans and other mammals cannot synthesize biotin, and thus, must obtain the vitamin from exogenous sources via intestinal absorption. Intestinal absorption of biotin occurs via a Na+-dependent and regulated carrier-mediated process. In studies performed during the current funding period, we have generated a conditional (intestine-specific) SMVT- knockout (KO) mouse model to establish the relative contribution of SMVT toward intestinal carrier-mediated biotin absorption and obtained evidence that this system is the only biotin uptake system that operates in the gut. Unexpectedly, however, we came across a very interesting phenomenon in that all the SMVT KO mice developed spontaneous chronic intestinal inflammation, especially in the cecum. In other studies, we found that chronic alcohol exposure significantly inhibit intestinal biotin uptake and that the inhibition is mediated at the level of transcription of the SLC5A6 gene (the gene that encodes SMVT); our new preliminary findings suggest that the latter is, at least in part, mediated via epigenetic mechanism(s). In other new preliminary studies, we found that infecting mice with S. Typhimurium, and exposure to pro-inflammatory cytokines or to bacterial LPS to lead to a significant inhibition in intestinal biotin uptake.  Based on our recently published observations and our new preliminary findings, our working hypotheses in this proposal are that the SMVT system is important for the maintenance of normal intestinal immunity and integrity, and that Salmonella infection, as well as exposure of the gut to pro-inflammatory cytokines or to bacterial LPS lead to a significant inhibition in intestinal biotin uptake. We also hypothesize that the inhibition in SLC5A6 transcription by chronic alcohol exposure is mediated, at least in part, via epigenetic mechanism(s). Three specific aims are proposed to test these hypotheses and will utilize state-of-the-art in vitro and n vivo physiological, cellular and molecular approaches.  Results of these investigations should provide novel and valuable information regarding the role of SMVT in the maintenance of normal intestinal homeostasis and health, and on how infection with enteric pathogens (Salmonella), as well as exposure to pro-inflammatory cytokines (as in IBD), and to bacterial LPS (as in infection with gram negative bacteria) affect the absorption of the indispensable micronutrient biotin. The results should also shed further light onto how chronic exposure to alcohol (the most common and costly drug abuse, and a significant contributor to many disease categories) affect the normal physiology of intestinal biotin absorption."
"9605921","Abstract In vitro and in vivo models of neurodegenerative disease such as Amyotrophic Lateral Sclerosis (ALS) have provided glimpses into the biological processes that go awry in these disorders. Current thinking indicates that major pathophysiologic processes include protein misfolding and accumulation, endoplasmic reticulum stress, dysfunctional intracellular trafficking, excitotoxicity, mitochondrial dysfunction, neuroinflammation, and abnormal RNA processing. The ARF family of GTP'ases are a phylogenetically- conserved family of proteins involved with membrane traffic, lipid metabolism/signaling, actin remodeling, and lipid droplet formation. Based on the apparent overlap between ALS pathophysiology and some of the biological actions of ARFs, we wondered if ARF signaling modified models of ALS. In recently published work we find that blocking activity of cytohesins (?Cy's?, ARF guanine nucleotide exchange factors) is neuroprotective. Understanding the cell biological mechanism of this observation is problematic because of the pleiotropic actions of Cy's and ARFs. The path forward will be facilitated by determining the specific Cy and specific ARF involved in this process as this will guide us to the relevant cell biological process. To this end, in specific aim #1, experiments will be undertaken to determine if inhibition of an individual Cy confers protection against the toxic actions on motor neurons of mutant SOD or mutant TDP43. In specific aim #2, experiments will be undertaken to determine if inhibition of an individual ARF confers protection against the toxic actions on motor neurons of mutant SOD or mutant TDP43. Identification of the specific Cy/ARF pair that upon disabling is neuroprotective will be the launching pad for insight into mechanisms and potential therapeutic targeting."
"9615600","Project(Summary/Abstract(( Despite significant advances in the early detection of autism spectrum disorders (ASD), racial and ethnic disparities persist in rates and age of detection among children from low socioeconomic status (1). With support from NIMH (R01MH104400), our team developed and is now evaluating the effectiveness of a multi-stage screening protocol to address these health disparities among at-risk toddlers in an underserved region of Greater Boston Massachusetts (MA) referred to as the ?Circle of Promise,? where 98% of children come from racial/ethnic minority populations and 47% are English language learners. Our intervention approach involves partnering with early intervention (EI) agencies to provide targeted multi-stage screening to at-risk toddlers enrolled in Part C EI, the publicly-funded programs to which pediatricians typically refer children experiencing delays in language and other areas of development. In this project, we leverage the experiences of parents, providers and pediatricians in this multi-stage screening protocol to assess potential risks and benefits associated with ASD screening, detection, and treatment, as well as investigate challenges to retention over time among underserved communities. Expanding upon data collected from 21 parents engaged in the ASD multi-stage screening protocol, 22 EI service providers, and over 40 hours of observational data, we first propose to conduct an additional semi-structured interviews with 30 parents who were more likely to experience harms and risks associated with ASD screening (e.g., ?false positives,? loss-to-follow-up), EI service providers with extensive experience implementing the protocol (n=30), and pediatricians whose patients were diagnosed with ASD through this protocol (n=20). Employing a modified grounded theory approach, we will analyze these data and develop a conceptual framework of the risks and benefits associated with ASD screening, detection, and treatment. Given the diverse sample of parents engaged in this process, our findings will be especially germane to building new theoretic understanding of risks and benefits associated with growing disparities in early detection and treatment. Based on findings, we will then conduct a systematic evidence review to identify measures that operationalize identified risks and benefits and disseminate findings through a web-based measures clearinghouse. The clearinghouse will be made available to the research community, including the ASD Pediatrics Network, and include user surveys to facilitate a process of continuous quality improvement. !"
"9418513","This is a proposal to create a biologically active prosthetic arterial graft (PG) incorporating gene silencing and gene overexpression in an antithrombotic and pro-angiogenic surface. The research team is unique in its cohesiveness and breadth of expertise including nanotechnology, polymers, gene therapy, vascular biology, and surgery, all with an established focus on vascular grafts. This project builds on our long-standing work where we have 1) characterized the lesion of anastomotic neointimal hyperplasia (AIH) downstream of the prosthetic graft, 2) established the role of blood flow-surface interaction in AIH pathogenesis, 3) determined the unique gene signature associated with AIH development, including identification of high profile pathogenic and protective targets, 4) documented delivery of siRNA from a prosthetic surface to knockdown pathogenic genes in vascular smooth muscle cells, 5 ) documented adeno associated virus (AAV) mediated delivery of atheroprotective genes to the vascular wall and through the prosthetic surface to endothelial cells and, 6) demonstrated the advantages of a cryogel coating as a delivery system for antithrombotic and pro-angiogenic molecules and gene therapy. Based on this knowledge and achievements, we propose an optimized approach to create a highly functional and adaptable flow surface. We will build a composite PG comprising three components: A) A `backbone' graft composed of standard polyethyleneterephthalate (PET), B) An anti-thrombotic (heparin) gel with improved cell attachment properties (RGD) to be applied to the graft prior to cryogelation, and C) Biologic therapeutic agents to be incorporated in the cryogel-PG prior to surgery, which would create a high capacity multifunctional bioactive flow surface. Using gene therapy technologies, biologics with anti-inflammatory and atheroprotective properties that have been fully validated by our group will be incorporated to synthesize the composite PG. Our goal is to optimize the composite PG for delivery of drugs and biologics from the flow surface into the PG microenvironment. This would target the circulating cells invading the pseudo intima, decreasing contact activation and platelet aggregation. Additionally, this will modulate endothelial and smooth muscle cells of the native artery at the anastomosis site as to prevent their phenotypic switch that fuels AIH. In a rabbit model we will implant the composite PG with the bioactive gel applied intraluminally and/or extraluminally. We will then gauge efficacy of drug delivery, and determine its effect on PG molecular signature and AIH. This is a stepwise study bringing to bear the necessary and broad range of expertise on the effective application of a multifunctional bioactive prosthetic arterial graft to improve outcome. This work will also serve as proof of concept to instill bioactivity and adapt biomaterials for therapeutic purposes such as endografts, hernia repair, and wound coverage."
"9464201","Summary: Alcohol abuse is a major risk factor for diseases of the exocrine pancreas pancreatic ductal adenocarcinoma (PDAC) and chronic pancreatitis (CP). One obstacle to understanding these diseases is the lack of clinically relevant mouse models. Feeding of an alcohol containing diet does not lead to spontaneous CP or PDAC in wild-type mice. However, we have observed that alcohol is sufficient to induce disease in mice with clinically relevant genetic alterations. Specifically, mice expressing in adult pancreatic acinar cells KrasG12D, which is the most prominent mutation observed in this disease, do not develop PDAC on a control diet but so when fed alcohol. Furthermore, mice expressing human PRSS1R122H, the most common genetic aberration associated with human hereditary pancreatitis, do not develop CP on a control diet but do after alcohol feeding. These new models are more clinically relevant that the currently available animal models. The goal of the proposed research is to improve our understanding of the mechanisms involved in the synergistic interaction of alcohol with clinically relevant genetic mutations. Although a large number of acute effects of alcohol have been suggested to be important for pancreatic disease development, in humans the diseases are only observed after prolonged abuse. Likewise, the effects of alcohol in these novel mouse models are chronic, not acute. We have formed a novel hypothesis that may explain our observations in these mouse models and the complexity of these diseases in humans. In preliminary studies, we observed increased accumulation of advanced glycation-end products in the pancreases of alcohol fed mice. AGES interact with the receptor for advanced glycation end-products (RAGE), which is expressed on pancreatic acinar and stellate cells. AGEs activation of RAGE has previously been found to be important in acute pancreatitis, in the development of PDAC in a model of developmentally expressed oncogenic Kras, and in multiple models of alcohol induced fibrosis developed in other organs such as the liver, heart, and blood vessels. Specific Aim #1 will test the hypothesis that RAGE is involved in the development of PDAC in the alcohol fed mice expressing oncogenic mutant KrasG12D. We hypothesize that in the case of PDAC, alcohol induce AGEs activate RAGE and elevate the levels of Ras activity thus initiating the Ras/inflammation feed-forward loop which drives transformation. We will evaluate the effects of inhibiting RAGE activation using both pharmacological and genetic approaches. Specific Aim #2 will test the hypothesis that advanced glycation end-products (AGEs) are involved in the development of CP in the alcohol fed mice expressing R122H. In the case of CP, we hypothesize that AGEs accumulation in the pancreatic tissue causes persistent inflammation and contributes to the observed damage. The results from this research will provide a foundation for further studies aimed at targeting RAGE for the prevention or treatment of these currently untreatable maladies."
"9444465","Project 3 Summary The goal of this program is to develop a vaccine for human immunodeficiency virus (HIV)-1 based on spread- deficient cytomegalovirus (CMV) vectors optimized for the induction of protective immune responses. Rhesus CMV (RhCMV)-vectored vaccines demonstrated unprecedented efficacy against highly virulent simian immunodeficiency virus (SIV), resulting in stringent control and clearance of SIV over time. Preliminary data suggest that this efficacy correlates with the induction of unconventional CD8+ T cells recognizing epitopes in the context of MHC-II and non-classical MHC-E molecules. In this project we will dissect the mechanisms by which strain 68-1 RhCMV achieves these unprecedented T cell responses to improve protection against SIV, and to design human CMV (HCMV)-based vectors that recapitulate the optimally protective immunological profile identified in monkeys. We will focus on understanding the function of RhCMV proteins and microRNAs (miRs) involved in MHC-E-restricted CD8+ T cell response priming, a likely candidate for mediating protection against SIV (see Project 1). Preliminary work has identified a number of RhCMV genes that, if deleted from strain 68-1 RhCMV vectors, abrogate MHC-E-restricted CD8+ T cell priming, resulting in vectors that exclusively elicit MHC-II-restricted T cells. As described in Project 1, these ?MHC-II-only? vectors will enable our determination of the contribution of MHC-II-, and indirectly, MHC-E-restricted responses to protection. Given that these genes are required for MHC-E-restricted epitope targeting, their characterization offers an opportunity to delineate the mechanisms responsible for priming this unusual type of CD8+ T cell response. A better understanding of the mechanisms by which RhCMV gene products control MHC-E-restricted CD8+ T cell priming will allow us to design HCMV vectors that elicit similar responses in humans. In Specific Aim 1, we will study the Rh67 gene, which encodes a protein containing the canonical, MHC-E-binding peptide VL9 required for intracellular transport of MHC-E in RhCMV-infected cells. We will determine whether the HCMV orthologue of Rh67, UL40, performs a similar function and we will mechanistically dissect the structural domains of Rh67 that are required for function, in particular the role of the embedded VL9 peptide, its position in the Rh67 protein, and non-VL9 protein sequence in priming MHC-E-restricted CD8+ T cells by both RhCMV and HCMV. In Specific Aim 2, we will test the hypothesis that viral miRs that alter vesicular trafficking in CMV- infected cells so as to create a viral assembly complex regulate peptide exchange of VL9-loaded MHC-E in this viral assembly compartment, thus promoting the induction of MHC-E-restricted CD8+ T cells. In Specific Aim 3, we will additionally study how G-protein coupled receptor (GPCR)-like proteins encoded in the Rh214-220 region promote MHC-E-restricted T cell responses and whether this function is conserved in the related HCMV proteins US28 and US27. We expect that this project will contribute to the generation of an HCMV/HIV vector that closely recapitulates the protective CD8+ T cell response profile elicited by optimized RhCMV/SIV vectors."
"9668505","Project Summary:  We propose the 5-year renewal of the University of Maryland Center of Excellence in Regulatory Science and Innovation (M-CERSI), a consortia of the two leading sister campuses within the University System of Maryland, and the FDA. M-CERSI leverages the engineering, device, and technologies strengths in College Park with the biomedical and health outcomes strengths in Baltimore. Five Specific Aims are: 1. Establish Core Program Support and Management Plan to Ensure Success; 2. Grow regulatory science training/educational programs; 3. Build Collaborative Interactions to Foster Regulatory Science Communications Including Scientific Exchanges, Workshops and Seminars; 4. Create New Opportunities for Collaborative Regulatory Science Research; and 5. Create Opportunities to Leverage FDA Funds in Support of CERSI Activities. Pilot research projects are proposed that align UM research strengths with six FDA Regulatory Science Initiatives:  o Modernize toxicology to enhance product safety  o Support new approaches to improve product manufacturing and quality  o Ensure FDA readiness to evaluate innovative emerging technologies  o Harness diverse data through information sciences to improve health outcomes  o Strengthen social and behavioral science to help consumers and professionals make informed  decisions about FDA regulated products  o Strengthening the global product safety net In addition to their alignment with FDA-wide priority areas, the pilot projects and other M-CERSI activities align well with priority areas specifically noted by CDER, CBER, CDRH, the OMH, OHI, and OWH. The sum of these activities describe a vibrant, cutting edge Center that stimulates innovative thought, disseminates understanding of regulatory sciences and practices, and generates new knowledge in support of the FDA's fundamental mission ? to promote and protect the public health."
"9627474","Periodontitis fuels the inflammation of obesity-associated type 2 diabetes (T2D), associates with poor glycemic control, and increases T2D morbidity. New strategies are critically needed to counter sources of periodontal infection and the resulting inflammation, both of which are refractory to standard treatments in people with T2D. However, mechanisms underlying the relationship between periodontitis and T2D remain poorly understood, impeding clinical progress. One unifying link between periodontitis and T2D is altered B cell function, and recent collaborative work between Drs. Barbara Nikolajczyk and Thomas Van Dyke showed that T2D-associated changes in B cells promote periodontitis. Our work further indicates that T cells cannot drive chronic periodontitis in T2D hosts in the absence of B cells, despite evidence that T cells promote periodontitis in lean hosts. Taken together, these findings support a model in which B cells support T2D-potentiated periodontitis, while T cells dominate periodontitis in leans. Both B cells and T cells are major sources of receptor activator of nuclear factor kappa-B ligand (RANKL), a key driver of osteoclastogenesis and periodontal bone loss. Obesity/T2D increases hematopoietic cell production of RANKL, most likely through increasing concentrations of a number of cytokines (TNF?, IL-1? and IL-6) known to drive RANKL production. These data, together with our demonstration that B cells are required for T2D-potentiated osteoclastogenesis and periodontitis, support our central hypothesis: T2D cytokines specifically up regulate B cell RANKL function, which uniquely potentiates periodontal complications of T2D. Definitive analyses are needed to fill the critical gaps in knowledge of how obesity-associated T2D impacts lymphocyte RANKL induction and function, and whether cellular sources of osteoclastogenic RANKL differ in T2D compared to lean hosts. We will use loss- and gain-of-function approaches in a standard mouse model of T2D, coupled with a standard model of chronic periodontitis, to study development of T2D-potentiated periodontal disease. We will complement the disease etiology work in mice with analysis of gingiva from people with T2D to query mechanistic underpinnings of chronic periodontitis. This strategy will identify drivers of both early and chronic phases of T2D-potentiated periodontitis to meet our long-term objective: to identify key factors that promote periodontitis in T2D compared to non-T2D subjects, and thereby pinpoint drug targets for future studies."
"9441866","?    DESCRIPTION (provided by applicant): Over the last several years, much effort has been devoted to studying the role of Amyloid Precursor Protein (APP) in Alzheimer's disease (AD). One of the key goals has been to understand the precise role of APP in AD. APP is clearly involved in the pathogenesis of AD. For instance, the first gene mutation identified as a cause for autosomal dominant form of AD is in the APP gene. Similarly, duplication for the APP gene is a risk factor for developing AD. APP is expressed both in neurons and glia, and while much work has been directed towards understanding its role or processing in neurons, the importance or the relevance of expression and the processing of APP in glia has not been examined. Thus, we know very little about the role of APP in glia in the development of AD. We have developed a robust APP-gain of function (APP-GOF) model in the Drosophila brain. We can express this specifically in glial cells or neurons. When we expressed APP in glia and compared to neuronal expression, we found differences in both the pattern of deposition of APP, processing of APP, and lethality induced by such expressions. We further found that the lethality strictly correlated with a specific processed peptide other than Abeta; the level of which increased with the co-expression of human BACE and resulted in a greater lethality compared to APP expression alone. These main results led us to formulate experiments to dissect the role of APP, its processing and toxicity when expressed in glial cells, and compare this with APP in neurons. Thus, our specific aims are: 1) Analyze the processing and the lethal effects of expression of APP in glial cells, 2) Analyze the effects of expression of processed peptides of APP in glia and neurons in the brain, and 3) Perform a conditional genetic screen for recessive modifiers of APP-GOF. We believe that these aims when completed, will contribute significantly to our understanding of the role played by APP in glia and its contribution to the development of the neuropathology and the disease. These studies will also likely identify new players in the APP-mediated pathway(s)."
