APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
9477872,R36,MH,1,N,1/12/2018,1/15/2018,12/31/2018,242,R36MH115722,SCHOOLS OF MEDICINE,PAR-15-181,1R36MH115722-01,NIMH:40895\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF MENTAL HEALTH,,KANSAS CITY,UNITED STATES,MISCELLANEOUS,5,10989619,US,578004,UNIVERSITY OF MISSOURI KANSAS CITY,MO,641102446,"PROJECT NARRATIVE This Dissertation Award (R36-Mental Health Research Dissertation Grant to Enhance Workforce Diversity) will 1) explore attitudes, norms, perceived control beliefs along with intentions related to seeking/receiving mental health screening/linkage to care (LTC) among young urban African American (AA) men in urban community- based contexts (e.g., church, community organization, college), and 2) engage members of the community in assessing the validity of the focus group findings and the perceived importance and feasibility of potential screening and linkage to care intervention strategies. Young AA men are at less likely to receive mental health treatment than other racial/ethnic groups. However, theory-based studies on screening and LTC among young, urban AA males are lacking. The potential public health impact is large, as young AA men are at greater risk for exposure to trauma, subsequent mental health concerns, and poor outcomes from untreated mental health conditions.",11466863; ,"BOOKER, ALEXANDRIA GABRIELLE;","HILL, LAUREN D",1/15/2018,12/31/2019,Address; Adolescence; Adolescent and Young Adult; African American; aged; Alcohol or Other Drugs use; Attitude; Award; base; Behavior; Behavior Control; Behavioral; behavioral construct; behavioral study; Belief; Caring; Church; Clinical Psychology; college; Communities; community based participatory research; community organizations; coping; coping mechanism; Crime; Criminal Justice; Data; Development; disability; Discrimination; early childhood; Equation; Ethnic group; Evidence based treatment; experience; Exposure to; Feedback; Focus Groups; Goals; Grant; Health Services Accessibility; Healthcare; high risk; Hispanic Americans; Homicide; Imprisonment; Improve Access; interest; Intervention; intervention program; Investigation; Link; male; Mediation; Mediator of activation protein; member; men; Mental Depression; Mental Health; Mental Health Services; National Institute of Mental Health; Outcome; Participant; Pathology; Perception; Phase; Planning Theory; Population; Post-Traumatic Stress Disorders; psychosocial; Public Health; racial and ethnic; Recruitment Activity; Reporting; Research; Research Methodology; Research Personnel; Research Priority; Resources; Risk; screening; service utilization; Services; Severities; Site; social stigma; Structure; Suicide; Surveys; Symptoms; theories; Training; Trauma; Underserved Population; Universities; Victimization; violence perpetration; violence victimization; young adult; young man; ,Exploring Mental Health Screening and Linkage to Care Among Young African American Men,115722,ZMH1,Special Emphasis Panel ,,,1,26384,14511,40895,
9508523,R21,AI,1,N,1/15/2018,1/12/2018,12/31/2018,855,R21AI137716,,PA-16-161,1R21AI137716-01,NIAID:265500\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,BOSTON,UNITED STATES,,7,76593722,US,1504801,BOSTON CHILDREN'S HOSPITAL,MA,21155724,"Project Narrative Candida albicans is the most common cause of invasive fungal infections, for which treatment options are still limited and mortality remains high. We discovered a link between a phosphate transporter and drug tolerance as well as virulence of C. albicans. The connections between phosphate transport, cell wall maintenance and cell wall integrity signaling of this fungal pathogen will be studied to add to our understanding of the ways in which C. albicans resists the human immune system and withstands antifungal drugs.",1867020; ,"KOEHLER, JULIA R;","LOVE, DONA",1/12/2018,12/31/2019,Affinity; Amino Acids; Anabolism; Antifungal Agents; Antiviral Agents; Attenuated; Bacillus subtilis; base; biological adaptation to stress; Candida albicans; Cell Wall; Cells; Complex; Data; Defect; defined contribution; Drug Tolerance; Environment; Enzymes; experimental study; Failure; FDA approved; Genetic; Genome; glucan synthase; Glucose; Goals; Growth; Homeostasis; Homologous Gene; Human; Hypersensitivity; Immune system; Infection; inorganic phosphate; Inorganic Phosphate Transporter; Insecta; Laboratories; Ligase; Link; Macronutrients Nutrition; Maintenance; Metabolic; metabolomics; Methods; Micafungin; Mitogen-Activated Protein Kinases; Modeling; monomer; Monomeric GTP-Binding Proteins; mortality; Mus; mutant; Mutate; Mutation; Mycoses; novel; Nucleotide Biosynthesis; Nucleotides; Nutrient; Organism; paralogous gene; pathogen; Pathway interactions; Pharmaceutical Preparations; Phenotype; Phosphorylation; polyglucosan; Polymers; Process; Production; Proliferating; Reaction; Resistance; response; Ribose-Phosphate Pyrophosphokinase; Role; Saccharomyces cerevisiae; Signal Pathway; Signal Transduction; Sirolimus; Site; small molecule; small molecule inhibitor; Stress; stressor; Symbiosis; Testing; uptake; Uridine Diphosphate; Uridine Diphosphate N-Acetylglucosamine; Virulence; Work; Yeast Model System; ,Role of Candida albicans phosphate transport in cell wall maintenance and echinocandin tolerance,137716,PTHE,Pathogenic Eukaryotes Study Section ,,,1,150000,115500,265500,
9509280,R21,AI,1,N,1/18/2018,1/18/2018,12/31/2018,855,R21AI137867,,PA-16-161,1R21AI137867-01,NIAID:387000\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,LA JOLLA,UNITED STATES,,49,781613492,US,7375802,SCRIPPS RESEARCH INSTITUTE,CA,920371000,"Public Health Relevance The establishment of a diverse repertoire of antibodies is essential for the immune system to combat a wide variety of pathogens; here we will investigate one novel enhancer-like element we have identified that appear to initially orchestrate the V(D)J recombination process by which a diverse repertoire of light chain genes of antibodies are made and which significantly affects V gene rearrangement levels. If we understand how this novel enhancer-like region regulates rearrangement frequency of nearby genes, that could be of therapeutic significance. !",1894307; ,"FEENEY, ANN J;","LIU, QIAN",1/18/2018,12/31/2019,Affect; Antibodies; Antibody Repertoire; Antigen Receptors; B-Lymphocytes; Binding; Binding Sites; Biological Assay; Cell Communication; Cell Line; Cells; Chromatin; combat; complement C4c; Complex; Contracts; CRISPR/Cas technology; Data; deep sequencing; Distal; Elements; Enhancers; EP300 gene; Epigenetic Process; Frequencies; Gene Rearrangement; Genes; Genetic Enhancer Element; Genetic Transcription; Genome; genome editing; Human; IgK; Immune system; Impairment; Individual; insight; IRF4 gene; Light; Location; Mediator of activation protein; Molecular Conformation; Mus; novel; pathogen; Positioning Attribute; Process; promoter; public health relevance; Role; Site; Structure; TCF3 gene; Testing; Therapeutic; Therapeutic Uses; three dimensional structure; Time; transcription factor; V(D)J Recombination; Work; ,"Role of chromosomal context in IgVk locus novel enhancer effects on individual Vk gene utilization, germline transcription, and long-range interactions within the Igk locus",137867,CMIA,Cellular and Molecular Immunology - A Study Section ,,,1,200000,187000,387000,
9517218,R21,AI,1,N,1/15/2018,1/15/2018,12/31/2019,855,R21AI138052,SCHOOLS OF VETERINARY MEDICINE,PA-16-161,1R21AI138052-01,NIAID:246400\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,PHILADELPHIA,UNITED STATES,VETERINARY SCIENCES,2,42250712,US,6463801,UNIVERSITY OF PENNSYLVANIA,PA,191046205,Narrative: BAG3 is a stress-induced host protein that plays a role in chaperone-assisted selective autophagy and cellular protein homeostasis. We show that BAG3 interacts with Ebola and Marburg VP40 proteins and prevents budding of VP40 virus-like particles (VLPs). We seek to understand the mechanism of antiviral activity of BAG3 against filovirus egress.,1873180; ,"HARTY, RONALD N.;","REPIK, PATRICIA M",1/15/2018,12/31/2020,Affect; Antiviral Agents; Autophagocytosis; BAG3 gene; base; Binding; Binding Proteins; Biological; Categories; Cell membrane; Cell Survival; Cells; Data; Defense Mechanisms; Disease Progression; Ebola virus; Ensure; Excision; Filament; Filoviridae; Filoviridae Infections; Filovirus; Frankfurt-Marburg Syndrome Virus; Funding Mechanisms; Genetic Engineering; Goals; Homo; Host Defense; Host Defense Mechanism; imaging approach; Innate Immune Response; innovation; insight; Laboratories; Mammalian Cell; Mediating; Molecular Chaperones; mutant; N-terminal; new therapeutic target; novel; novel therapeutic intervention; pathogen; Pathway interactions; Play; prevent; Process; Proteins; proteostasis; Publishing; recombinant virus; Recruitment Activity; Role; Site; Stress; Testing; Therapeutic Agents; Time; transmission process; Ubiquitination; Vaccines; Vesicular stomatitis Indiana virus; Viral; Viral Proteins; Virion; Virus; Virus Assembly; Virus-like particle; ,Modular Domains of Host Proteins Regulate Filovirus Maturation,138052,VIRA,Virology - A Study Section ,,,1,154900,91500,246400,
9529759,R21,NS,1,N,1/5/2018,1/15/2018,12/31/2018,853,R21NS103036,SCHOOLS OF MEDICINE,PA-16-161,1R21NS103036-01A1,NINDS:228750\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,,GAINESVILLE,UNITED STATES,ANESTHESIOLOGY,3,969663814,US,513806,UNIVERSITY OF FLORIDA,FL,326115500,"This two-year research project focuses on the preclinical development of a novel and efficient non-invasive therapeutic strategy testing a CO-releasing molecule (i.e. CORM401 and its inactive isoform) for the treatment of TBI. The lab has been pioneered to document the protective effects of minimal amount of CO within the brain, and through collaboration with a leader in the CORM field, together we will test whether such CORM401 would be beneficial and minimizing any potential undesired side effects associated with CO per se, and test a novel putative mechanism of action. There are various other examples of medical gas donors being used in the clinic; although, it would likely be the first time that therapeutic use of CORM are being rigorously tested to limit TBI outcomes in young and older males and females.",6619296; ,"DORE, SYLVAIN ;","BELLGOWAN, PATRICK S F",1/15/2018,12/31/2019,Acute; Adult; Adverse effects; Aftercare; anatomic imaging; Anatomy; Animals; base; Behavioral; Brain; Brain Edema; Brain imaging; C57BL/6 Mouse; Carbon Monoxide; Cardiac; Cerebral Ischemia; Clinic; Collaborations; controlled cortical impact; Development; Dose; Edema; Elderly; Excision; experience; Exploratory/Developmental Grant; Exposure to; Feedback; feeding; Female; Filament; Functional Imaging; Gases; Glial Fibrillary Acidic Protein; Gliosis; heme oxygenase-1; Hippocampus (Brain); Hypoxia; Immunoglobulin G; improved; Injury; innovation; Intensive Care; ischemic lesion; Kidney; Lead; Lesion; Liver; male; Mediating; Medical; Methodology; Modeling; Monitor; motor deficit; Mus; Neurocognitive Deficit; Neurons; neuroprotection; neutrophil; novel; Outcome; Outcome Measure; Pathway interactions; Physicians; pre-clinical; Pre-Clinical Model; preclinical development; preconditioning; protective effect; protein expression; Protein Isoforms; Proteins; Protocols documentation; pup; Rattus; Recovery of Function; Regimen; Research Project Grants; Role; Ruthenium; Sensitivity Training Groups; TBI treatment; Testing; Therapeutic; Therapeutic Effect; Therapeutic Uses; Time; tool; Toxic effect; Transition Elements; Traumatic Brain Injury; Treatment Protocols; Up-Regulation; young adult; ,CO therapeutic role and potential mechanism in TBI,103036,SAT,"Surgery, Anesthesiology and Trauma Study Section ",,A1,1,150000,78750,228750,
9535557,R21,AI,1,N,1/18/2018,1/18/2018,12/31/2019,855,R21AI133060,SCHOOLS OF MEDICINE,PA-16-161,1R21AI133060-01A1,NIAID:251250\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,NEW HAVEN,UNITED STATES,MICROBIOLOGY/IMMUN/VIROLOGY,3,43207562,US,9420201,YALE UNIVERSITY,CT,65208327,"B lymphocytes are major players in adaptive immunity, and are prime targets for vaccine design, for the treatment of some autoimmune diseases, and for B cell malignancies. Uncovering novel pathways controlling B lymphocyte homeostasis and responses is thus of utmost importance.",10398962; ,"PEREIRA, JOAO ;","FERGUSON, STACY E",1/18/2018,12/31/2020,"adaptive immunity; Address; ADP ribosylation; Anatomy; Antigens; Apoptosis; Applications Grants; Attenuated; Autoimmune Diseases; B cell differentiation; B cell repertoire; B lymphoid malignancy; B-Cell Activation; B-Lymphocytes; Binding Proteins; Buffers; Cell Compartmentation; Cell Maintenance; cell motility; Cell Nucleus; Cell Survival; Cells; Chemotactic Factors; Chronic; Coupled; cytokine; Cytokine Receptors; Defect; differentiated B cell; DNA Damage; DNA Double Strand Break; Engineering; Ensure; Excision; experimental study; fMet-Leu-Phe receptor; G-Protein-Coupled Receptors; Gamma-H2AX; Generations; Genetic; Goals; Grant; GTP Binding; GTP-Binding Protein alpha Subunits, Gs; Guanosine Triphosphate; Homeostasis; Immune; Immunologic Deficiency Syndromes; in vivo; insight; Interleukin 4 Receptor; Interleukin-7; Knowledge; Ligands; Link; Location; lymph nodes; Lymphocyte; Lymphoid; Mass Spectrum Analysis; Mature B-Lymphocyte; Measures; Mediating; migration; Molecular Target; Mus; novel; novel therapeutics; Nuclear; Organ; Pathway interactions; Peripheral; Pertussis Toxin; Play; prevent; Protein Analysis; protein protein interaction; Proteins; receptor; Receptor Signaling; Receptors, Antigen, B-Cell; Regulation; response; Reticular Cell; Role; Signal Transduction; Signaling Protein; Spleen; Systemic Lupus Erythematosus; T-Cell Receptor; T-Lymphocyte; Testing; Time; TNFRSF5 gene; treatment strategy; Vaccine Design; ",Mechanisms of peripheral B cell differentiation and homeostasis,133060,CMIB,Cellular and Molecular Immunology - B Study Section ,,A1,1,150000,101250,251250,
9548134,I21,VA,5,N,1/19/2018,1/1/2018,12/31/2018,999,I21RX001889,,RFA-RX-14-009,5I21RX001889-03,,RESEARCH CENTERS,2018,Veterans Affairs,,PALO ALTO,UNITED STATES,,18,46017455,US,481014,VETERANS ADMIN PALO ALTO HEALTH CARE SYS,CA,943041207,"PUBLIC HEALTH RELEVANCE     The largest numbers of Veterans are between 65 and 69 years old and entering an age of increasing risk for developing Alzheimer's disease (AD). If this study finds repetitive transcrania magnetic stimulation (rTMS) to maintain or improve memory functioning in Veterans with AD, this will provide promise for an effective, non- invasive, non-pharmacological treatment for AD. This has the potential to improve the functioning of thousands of Veterans who have AD or who will have AD in the coming years. This may be found to be an efficacious treatment that can be provided at VA medical centers nationwide. If it is effective for AD, then it may also be effective  for treating other causes of dementia (e.g., frontotemporal dementia). This study is also expected to improve our understanding how genetic difference affects the individual response to rTMS and increases cost-effectiveness of this potential treatment.",10926510; ,"CHENG, JAUHTAI J.;",,1/1/2016,12/31/2018,Adverse effects; Affect; Aftercare; Age; Alzheimer's Disease; Apolipoprotein E; Brain-Derived Neurotrophic Factor; California; Choline O-Acetyltransferase; chronic pain; Cognitive; Cognitive deficits; cognitive function; cognitive skill; cognitive testing; Control Groups; cost effectiveness; Dementia; design; Diagnosis; Disease; Double-Blind Method; Effectiveness; Elderly; Ensure; Evaluation; Evaluation Research; executive function; Exhibits; Frequencies; Frontotemporal Dementia; General Population; Genetic; Genotype; Goals; Hippocampus (Brain); Impaired cognition; improved; improved functioning; Individual; instrument; Intervention; Language; Lead; Literature; Magnetism; Measures; Mediating; Medical center; Memory; Memory impairment; mild cognitive impairment; Mus; N-Methyl-D-Aspartate Receptors; Names; neurobehavioral; Neurons; Neuropsychology; Outcome; Outcome Measure; Participant; Patients; Performance; Placebos; Prefrontal Cortex; primary outcome; Protocols documentation; public health relevance; Randomized Clinical Trials; receptor expression; Recruitment Activity; repetitive transcranial magnetic stimulation; Research; Research Design; response; Risk; Sample Size; Sampling; secondary outcome; Serum; Site; Testing; Time; treatment group; United States National Institutes of Health; Verbal Learning; Veterans; Vietnam; Withholding Treatment; ,Repetitive Transcranial Magnetic Stimulation for Dementia,1889,RRDS,Rehabilitation Research and Development SPiRE Program ,,,3,,,,
9590179,R01,AI,7,N,1/16/2018,12/19/2017,2/28/2018,855,R01AI080870,SCHOOLS OF MEDICINE,PA-16-285,7R01AI080870-08,NIAID:179984\,Non-SBIR/STTR RPGs,2017,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,ANN ARBOR,UNITED STATES,INTERNAL MEDICINE/MEDICINE,12,73133571,US,1506502,UNIVERSITY OF MICHIGAN,MI,481091276,"PUBLIC HEALTH RELEVANCE:  The proposed research is relevant to public health because elucidation of posttranscriptional gene control mechanisms in lungs is ultimately expected to increase understanding of pulmonary inflammation in asthma. This is especially the case, since there appears to be disease heterogeneity in human asthma and not all patients respond equally to commonly used medications to treat pulmonary inflammation. Thus, the proposed research is relevant to the part of the NIH's mission to increase knowledge that will help to reduce morbidity and mortality from pulmonary diseases such as asthma.",1868043; ,"ATASOY, ULUS ;","DONG, GANG",8/14/2009,2/29/2020,Ablation; adaptive immunity; Adoptive Transfer; Affect; Agonist; airway inflammation; Allergens; Allergic; allergic airway inflammation; Asthma; Binding; CD4 Positive T Lymphocytes; cell type; Cellular biology; cytokine; Cytokine Gene; Development; Disease; disease heterogeneity; Distal; Elements; experience; Extrinsic asthma; Functional disorder; Funding; Gene Expression; Gene Expression Regulation; Gene Targeting; Genes; genome-wide; Goals; Heterogeneity; Homeostasis; Human; Hypersensitivity; Immunoprecipitation; In Vitro; in vivo; Incidence; Inflammation; Inflammatory Response; innovation; insight; Interleukin-2; knock-down; Knockout Mice; Knowledge; Lung; Lung diseases; Lung Inflammation; Lymphocyte; Mediating; Messenger RNA; Methods; MicroRNAs; Mission; Molecular; Morbidity - disease rate; mortality; Natural Immunity; novel; Outcome; Ovum; Patients; Peripheral Blood Lymphocyte; permissiveness; Pharmaceutical Preparations; Play; Process; Production; Proteins; Public Health; public health relevance; Pulmonary Inflammation; Pyroglyphidae; Regulation; Research; response; RNA; RNA-Binding Proteins; Role; Small Interfering RNA; Steroids; System; T cell differentiation; T-Cell Activation; T-Lymphocyte; Testing; Trans-Activators; transcriptomics; Transgenic Mice; Transgenic Model; United States National Institutes of Health; Untranslated Regions; Work; ,HuR in Allergic Asthma and T cell Differentiation,80870,HAI,"Hypersensitivity, Autoimmune, and Immune-mediated Diseases Study Section ",,,8,116119,63865,179984,
9615353,R56,AI,1,N,1/14/2018,1/15/2018,12/31/2018,855,R56AI130044,SCHOOLS OF MEDICINE,PA-16-160,1R56AI130044-01A1,NIAID:301694\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,TUCSON,UNITED STATES,MICROBIOLOGY/IMMUN/VIROLOGY,3,806345617,US,490201,UNIVERSITY OF ARIZONA,AZ,857210158,Project narrative (no more than 3 sentences)  The immune system senses infections via specialized receptors that recognize components of the pathogen and orchestrate the ensuing immune response. This project will investigate how such receptors and their signals control the immune response to West-Nile Virus. This work will provide important new insights that are relevant for the design of novel vaccine strategies against West-Nile Virus.      ,8508064; ,"SCHENTEN, DOMINIK ;","JIANG, CHAO",1/15/2018,12/31/2018,Ablation; adaptive immune response; adaptive immunity; Address; Affinity; Antibody Affinity; Antibody Response; Antigens; B-Lymphocytes; CD8-Positive T-Lymphocytes; cell type; Cells; Cessation of life; Culicidae; cytokine; Cytosol; Defect; Dengue Virus; design; Development; Disease; Family; flu; Foundations; Generations; Goals; Human; Humoral Immunities; Immune; Immune response; Immune system; Immunity; Impairment; in vivo; Infection; Inflammatory; Innate Immune Response; insight; Interferon Type I; Interferon-alpha; Interferons; Kinetics; Mediator of activation protein; Membrane; microbial; Mitochondria; Modeling; Molecular; mortality; Mouse Strains; Mus; mutant; Myeloid Cells; Natural Immunity; neutralizing antibody; novel; novel vaccines; pathogen; Pattern; Pattern recognition receptor; peroxisome; Quality Control; receptor; Recovery; Regulation; Regulatory T-Lymphocyte; response; RNA; RNA Helicase; RNA Viruses; Role; Signal Pathway; Signal Transduction; Structure of germinal center of lymph node; Symptoms; T-Lymphocyte; Testing; Toll-like receptors; Vaccines; Viral; Virus; Virus Diseases; West Nile viral infection; West Nile virus; Work; Zika Virus; ,Mechanisms of Rig-I-like receptor (RLR)-dependent regulation of humoral immunity,130044,CMIA,Cellular and Molecular Immunology - A Study Section ,,A1,1,200000,101694,301694,
9624872,R01,HL,3,N,1/19/2018,1/20/2018,5/31/2018,837,R01HL109301,,PA-11-260,3R01HL109301-05S1,NHLBI:261553\,Non-SBIR/STTR RPGs,2018,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",,SAN ANTONIO,UNITED STATES,,23,7936834,US,7660801,TEXAS BIOMEDICAL RESEARCH INSTITUTE,TX,782450549,"PUBLIC HEALTH RELEVANCE: Steadily decreasing rates of cardiovascular disease (CVD) in the US threaten to be reversed because of rapid increases in obesity and diabetes. The proposed study will take advantage of the Strong Heart Study data in American Indians to further our understanding of CVD and its risk factors, especially diabetes and obesity, which will lead to more effective prevention and therapy and reduce the burden of CVD morbidity and mortality.",1912206; ,"COLE, SHELLEY A;","PANDEY, MONA",6/1/2013,5/31/2018,Abdomen; abdominal fat; Accelerometer; Address; Adipose tissue; Adult; Affect; Age; aged; Alcohols; Alleles; American Indians; Architecture; Atrial Fibrillation; base; behavior measurement; Behavioral; Biological; Biological Markers; Blood Pressure; Caliber; Cardiac; Cardiovascular Diseases; cardiovascular disorder risk; Cardiovascular Physiology; Cardiovascular system; Clinical; clinical practice; cohort; Cohort Studies; Coupled; Data; demographics; Deposition; design; Diabetes Mellitus; diabetes risk; diabetic; diabetic cardiomyopathy; Diet; Disease; Drug or chemical Tissue Distribution; Elderly; Environmental Exposure; Epidemic; Etiology; Event; experience; Extended Family; Family; Family Study; Fatty acid glycerol esters; follow-up; Foundations; Functional disorder; Gene Expression; Genes; Genetic; genetic analysis; Genetic Determinism; Genetic Transcription; genetic variant; Genetic Variation; Genomics; Health; health disparity; Heart; Heart failure; heart rate variability; Hepatic; Individual; Inflammation; inflammatory marker; innovation; insight; Insulin Resistance; interest; Investigation; Kidney Diseases; Knowledge; Lead; Life Expectancy; Link; Liver; Magnetic Resonance Imaging; Measurement; Measures; member; Mental Health; Metabolic; middle age; Morbidity - disease rate; mortality; Myocardial Infarction; Nonesterified Fatty Acids; novel; Obesity; obesity risk; Participant; Persons; Phenotype; phenotypic data; Physical activity; Physiological; Placebo Effect; Plant Roots; Population; pre-clinical; prediction algorithm; Prevention therapy; Process; public health relevance; Recurrence; Reproductive History; Resources; Risk Factors; RNA; Role; Socioeconomic Status; Solid; Statistical Data Interpretation; stroke; surveillance data; Techniques; Technology; Tobacco use; tonometry; transcriptomics; trend; Triglycerides; Variant; ,CVD in American Indians Genetics Center,109301,ZRG1,Special Emphasis Panel ,,S1,5,136581,124972,261553,
